Booking_ID,Customer_ID,Booking_Time,Ride_Type,Pickup_Location,Drop_Location,Estimated_Fare,Estimated_Distance_km,Estimated_Time_min,Booking_Status,Cancellation_Time,Cancellation_By
1,4714,2026-01-06 20:11:04.999317,Instant,"Indiranagar, Bangalore","Satellite, Ahmedabad",26.23,2.05,6,Completed,,
2,770,2026-01-01 17:40:44.971143,Instant,"Adajan, Surat","Dadar, Mumbai",221.56,15.07,38,Completed,,
3,4679,2025-10-28 16:14:49.436054,Instant,"Satellite, Ahmedabad","Katargam, Surat",177.65,16.37,40,Cancelled,2025-10-28 16:20:49.436054,System
4,1870,2025-11-28 21:41:29.694341,Instant,"Bandra, Mumbai","Kothrud, Pune",250.38,14.29,32,Completed,,
5,2260,2026-02-02 09:34:30.403510,Instant,"Whitefield, Bangalore","Dadar, Mumbai",251.9,15.83,33,Completed,,
6,4892,2025-10-06 12:47:14.623173,Instant,"Indiranagar, Bangalore","Adajan, Surat",203.41,19.64,77,Cancelled,2025-10-06 12:48:14.623173,System
7,2564,2026-03-01 01:32:48.638335,Instant,"Indiranagar, Bangalore","Satellite, Ahmedabad",68.22,3.92,10,Completed,,
8,3397,2025-11-21 13:48:20.499676,Instant,"Satellite, Ahmedabad","Satellite, Ahmedabad",310.9,23.67,74,Completed,,
9,1846,2026-01-20 07:21:52.960605,Instant,"Hinjewadi, Pune","Indiranagar, Bangalore",74.9,5.3,17,Completed,,
10,1114,2026-01-06 07:59:21.185584,Instant,"Hinjewadi, Pune","Bandra, Mumbai",48.17,2.89,11,Completed,,
11,2764,2025-11-14 04:00:41.745324,Scheduled,"Satellite, Ahmedabad","Dwarka, Delhi",163.92,9.63,37,Completed,,
12,2991,2026-02-16 20:29:46.565705,Instant,"Katargam, Surat","Kothrud, Pune",74.03,5.18,12,Completed,,
13,2312,2026-01-17 04:40:27.315811,Instant,"Udhna, Surat","Hinjewadi, Pune",114.97,10.4,29,Completed,,
14,1495,2026-02-15 10:30:16.569173,Instant,"Adajan, Surat","Hinjewadi, Pune",219.35,16.83,33,Confirmed,,
15,420,2026-03-18 04:28:04.623456,Instant,"Udhna, Surat","Dwarka, Delhi",209.48,10.9,28,Completed,,
16,380,2026-01-05 21:01:04.705920,Instant,"Adajan, Surat","Adajan, Surat",77.35,4.16,9,Completed,,
17,1613,2025-10-06 02:22:05.043680,Instant,"Kothrud, Pune","Vesu, Surat",317.85,17.77,59,Confirmed,,
18,3282,2025-12-28 22:02:20.586879,Instant,"Dadar, Mumbai","Satellite, Ahmedabad",166.73,13.47,27,Cancelled,2025-12-28 22:09:20.586879,Driver
19,1574,2026-03-05 02:21:33.710099,Instant,"Navrangpura, Ahmedabad","Adajan, Surat",38.38,2.95,9,Completed,,
20,1629,2026-03-26 00:12:15.559370,Instant,"Katargam, Surat","Connaught Place, Delhi",111.29,10.81,28,Cancelled,2026-03-26 00:19:15.559370,Driver
21,4197,2026-01-03 00:20:06.358042,Instant,"Andheri, Mumbai","Udhna, Surat",227.65,19.73,73,Completed,,
22,2114,2026-03-10 23:07:48.298719,Instant,"Katargam, Surat","Whitefield, Bangalore",143.82,9.26,32,Completed,,
23,2362,2026-03-25 15:37:53.624958,Instant,"Dadar, Mumbai","Kothrud, Pune",72.54,7.1,20,Completed,,
24,2688,2026-03-29 20:30:17.117961,Instant,"Vesu, Surat","Adajan, Surat",207.53,20.53,49,Completed,,
25,835,2026-02-21 18:03:25.363447,Instant,"Andheri, Mumbai","Adajan, Surat",157.26,12.57,26,Completed,,
26,31,2025-11-03 22:10:25.138548,Instant,"Katargam, Surat","Connaught Place, Delhi",323.73,22.68,73,Completed,,
27,4006,2026-02-05 00:26:41.826144,Instant,"Navrangpura, Ahmedabad","Hinjewadi, Pune",261.21,13.65,28,Completed,,
28,3095,2025-10-05 21:20:43.400517,Instant,"Dwarka, Delhi","Satellite, Ahmedabad",309.87,17.41,64,Completed,,
29,1397,2026-03-28 17:51:54.765575,Instant,"Kothrud, Pune","Dwarka, Delhi",95.72,6.89,15,Completed,,
30,241,2025-12-18 19:56:52.808131,Instant,"Hinjewadi, Pune","Hinjewadi, Pune",22.81,2.18,7,Completed,,
31,2196,2025-12-03 21:02:21.440034,Scheduled,"Adajan, Surat","Satellite, Ahmedabad",164.53,10.09,39,Completed,,
32,2171,2025-11-09 04:52:54.765464,Instant,"Hinjewadi, Pune","Dadar, Mumbai",46.51,2.46,9,Completed,,
33,2925,2025-11-28 17:06:15.477862,Instant,"Adajan, Surat","Whitefield, Bangalore",151.91,13.21,47,Completed,,
34,3819,2026-01-12 16:24:23.072949,Instant,"Dwarka, Delhi","Whitefield, Bangalore",178.82,15.76,62,Completed,,
35,3096,2026-03-07 12:45:37.439271,Instant,"Bandra, Mumbai","Satellite, Ahmedabad",174.16,12.44,48,Completed,,
