Ride_ID,Booking_ID,Customer_ID,Driver_ID,Vehicle_ID,Pickup_Location,Drop_Location,Pickup_Latitude,Pickup_Longitude,Drop_Latitude,Drop_Longitude,Ride_Distance_km,Estimated_Duration_min,Actual_Duration_min,Ride_Status,Cancellation_Reason,Booking_Time,Pickup_Time,Drop_Time
1,3328,941,948,124,"Kothrud, Pune","Maninagar, Ahmedabad",21.127584,72.893457,21.158165,72.776582,18.2,71,74,Completed,,2026-03-12 22:18:25.827786,2026-03-12 22:21:25.827786,2026-03-12 23:35:25.827786
2,2156,4723,236,712,"Satellite, Ahmedabad","Indiranagar, Bangalore",21.212762,72.798304,21.125977,72.893858,17.68,69,66,Cancelled,Payment issue,2026-03-29 17:58:24.604697,2026-03-29 18:13:24.604697,
3,1789,40,842,707,"Dwarka, Delhi","Wakad, Pune",21.162826,72.819951,21.24163,72.801725,5.57,22,28,Completed,,2025-12-23 16:09:04.680456,2025-12-23 16:15:04.680456,2025-12-23 16:43:04.680456
4,3232,596,468,645,"BTM Layout, Bangalore","Whitefield, Bangalore",21.200128,72.776593,21.128205,72.766381,19.62,72,82,Completed,,2026-01-28 11:07:21.041409,2026-01-28 11:09:21.041409,2026-01-28 12:31:21.041409
5,4512,199,544,10,"Vesu, Surat","Andheri, Mumbai",21.127527,72.868922,21.12299,72.883268,12.0,34,29,Cancelled,Customer cancelled,2025-10-30 13:44:37.957028,2025-10-30 13:49:37.957028,
6,1331,2464,983,467,"Bopal, Ahmedabad","Katargam, Surat",21.136146,72.75014,21.131522,72.848165,15.25,53,60,Completed,,2026-02-28 09:56:59.635262,2026-02-28 10:03:59.635262,2026-02-28 11:03:59.635262
7,2894,4309,334,307,"Bopal, Ahmedabad","Rohini, Delhi",21.216138,72.886412,21.114021,72.775052,11.16,25,32,Completed,,2025-10-27 01:25:24.027179,2025-10-27 01:33:24.027179,2025-10-27 02:05:24.027179
8,3800,2951,520,57,"Dadar, Mumbai","Katargam, Surat",21.180443,72.764781,21.121071,72.812603,9.63,20,19,Cancelled,Long waiting time,2026-03-13 07:15:34.675954,2026-03-13 07:20:34.675954,
9,2570,933,769,291,"Dwarka, Delhi","Bopal, Ahmedabad",21.128304,72.835447,21.190293,72.803555,10.53,32,42,Completed,,2026-01-25 14:11:07.663603,2026-01-25 14:13:07.663603,2026-01-25 14:55:07.663603
10,4996,316,787,94,"Connaught Place, Delhi","Wakad, Pune",21.119451,72.896806,21.234086,72.800931,5.52,11,20,Completed,,2026-04-02 10:41:15.621330,2026-04-02 10:52:15.621330,2026-04-02 11:12:15.621330
11,3430,3361,230,761,"Maninagar, Ahmedabad","Dadar, Mumbai",21.240905,72.769065,21.122762,72.753541,4.36,12,18,Completed,,2025-10-05 20:22:09.178438,2025-10-05 20:27:09.178438,2025-10-05 20:45:09.178438
12,4429,1413,347,609,"Udhna, Surat","Andheri, Mumbai",21.208479,72.858375,21.121117,72.81845,5.55,16,20,Cancelled,Payment issue,2026-01-27 12:41:18.200173,2026-01-27 12:50:18.200173,
13,2443,2643,672,600,"Andheri, Mumbai","Navrangpura, Ahmedabad",21.100857,72.763432,21.233932,72.788318,17.5,59,66,Completed,,2025-10-22 23:03:19.018038,2025-10-22 23:05:19.018038,2025-10-23 00:11:19.018038
14,2259,3654,676,54,"Kothrud, Pune","Indiranagar, Bangalore",21.141638,72.763137,21.186119,72.883651,17.9,67,70,Cancelled,Payment issue,2026-02-02 21:56:35.453262,2026-02-02 22:06:35.453262,
15,3326,4115,569,5,"BTM Layout, Bangalore","Udhna, Surat",21.230951,72.816784,21.176968,72.759232,12.85,51,56,Completed,,2025-12-31 21:07:36.099449,2025-12-31 21:12:36.099449,2025-12-31 22:08:36.099449
16,1565,4791,904,653,"Udhna, Surat","Udhna, Surat",21.107775,72.817915,21.155309,72.867053,12.64,29,37,Cancelled,Payment issue,2026-02-07 14:41:34.866233,2026-02-07 14:46:34.866233,
17,2310,1835,7,227,"Indiranagar, Bangalore","Indiranagar, Bangalore",21.143242,72.846504,21.179999,72.879833,8.53,26,32,Cancelled,Driver cancelled,2026-03-09 14:54:14.681064,2026-03-09 15:03:14.681064,
18,1094,290,424,474,"Whitefield, Bangalore","Powai, Mumbai",21.227864,72.886192,21.241912,72.798747,6.23,20,28,Completed,,2026-01-05 08:17:21.181179,2026-01-05 08:25:21.181179,2026-01-05 08:53:21.181179
19,4696,2710,498,88,"Powai, Mumbai","Andheri, Mumbai",21.110896,72.898291,21.141457,72.859494,10.91,21,17,Cancelled,Long waiting time,2026-03-05 01:08:10.338433,2026-03-05 01:13:10.338433,
20,3669,1071,27,594,"Borivali, Mumbai","Maninagar, Ahmedabad",21.177315,72.864405,21.216824,72.826671,17.05,59,60,Completed,,2026-01-19 00:20:00.640681,2026-01-19 00:23:00.640681,2026-01-19 01:23:00.640681
21,4343,764,949,207,"Maninagar, Ahmedabad","Vesu, Surat",21.124305,72.75956,21.166799,72.875857,3.09,9,6,Completed,,2026-02-20 13:03:39.764637,2026-02-20 13:15:39.764637,2026-02-20 13:21:39.764637
22,840,4168,431,364,"Navrangpura, Ahmedabad","Andheri, Mumbai",21.164876,72.757394,21.14604,72.783509,2.69,10,13,Completed,,2025-12-16 22:45:47.004798,2025-12-16 22:48:47.004798,2025-12-16 23:01:47.004798
23,1408,3717,712,480,"Kothrud, Pune","Adajan, Surat",21.189868,72.80707,21.227114,72.876766,10.81,28,23,Cancelled,Customer cancelled,2025-11-08 10:39:35.956585,2025-11-08 10:52:35.956585,
24,3632,734,892,787,"Karol Bagh, Delhi","Dadar, Mumbai",21.249455,72.857827,21.13658,72.859488,14.1,30,30,Completed,,2025-11-15 04:19:02.775156,2025-11-15 04:22:02.775156,2025-11-15 04:52:02.775156
25,4008,1539,653,151,"Connaught Place, Delhi","Adajan, Surat",21.149053,72.775684,21.155082,72.795392,15.45,42,41,Completed,,2026-04-04 20:43:41.615649,2026-04-04 20:56:41.615649,2026-04-04 21:37:41.615649
26,2190,1192,690,377,"Vesu, Surat","Bandra, Mumbai",21.105709,72.857886,21.215379,72.871511,10.71,26,34,Completed,,2025-10-27 09:50:58.043914,2025-10-27 10:01:58.043914,2025-10-27 10:35:58.043914
27,1820,756,620,712,"Katargam, Surat","Maninagar, Ahmedabad",21.133702,72.802731,21.242009,72.753771,6.5,16,17,Cancelled,Driver cancelled,2026-02-15 17:35:21.405198,2026-02-15 17:40:21.405198,
28,404,1506,33,642,"Electronic City, Bangalore","Borivali, Mumbai",21.226075,72.80402,21.15874,72.814051,17.25,44,46,Completed,,2026-02-11 06:13:19.762686,2026-02-11 06:27:19.762686,2026-02-11 07:13:19.762686
29,2279,94,771,21,"Dwarka, Delhi","Indiranagar, Bangalore",21.187098,72.773935,21.17963,72.825065,7.4,17,24,Completed,,2026-03-07 05:59:32.740591,2026-03-07 06:06:32.740591,2026-03-07 06:30:32.740591
30,2754,1547,592,651,"Viman Nagar, Pune","Katargam, Surat",21.136043,72.791056,21.192953,72.762238,9.25,19,22,Cancelled,Driver cancelled,2025-11-21 01:54:05.304836,2025-11-21 01:57:05.304836,
31,4010,3269,34,424,"Dwarka, Delhi","Kothrud, Pune",21.154612,72.858322,21.203376,72.843033,10.77,42,50,Cancelled,Payment issue,2025-12-31 01:34:45.155432,2025-12-31 01:49:45.155432,
32,25,2313,532,326,"Hinjewadi, Pune","Whitefield, Bangalore",21.21301,72.810524,21.218603,72.782185,14.57,58,61,Completed,,2026-02-06 05:47:16.525870,2026-02-06 05:55:16.525870,2026-02-06 06:56:16.525870
33,3075,2937,35,230,"Katargam, Surat","Whitefield, Bangalore",21.127835,72.815672,21.130496,72.893451,6.01,23,20,Completed,,2025-12-22 20:10:30.433848,2025-12-22 20:24:30.433848,2025-12-22 20:44:30.433848
34,2317,4394,831,199,"Hinjewadi, Pune","Adajan, Surat",21.132207,72.880726,21.230828,72.801906,6.79,18,13,Completed,,2025-11-12 14:21:39.148192,2025-11-12 14:36:39.148192,2025-11-12 14:49:39.148192
35,1498,4425,630,46,"Wakad, Pune","Saket, Delhi",21.146979,72.888386,21.245292,72.882322,10.95,35,34,Cancelled,Payment issue,2025-11-28 00:52:35.556386,2025-11-28 00:59:35.556386,
36,4009,2036,455,5,"Rohini, Delhi","Satellite, Ahmedabad",21.231065,72.752312,21.145266,72.892403,10.0,31,37,Completed,,2025-12-12 10:08:11.505105,2025-12-12 10:17:11.505105,2025-12-12 10:54:11.505105
37,3112,3463,364,445,"Whitefield, Bangalore","Connaught Place, Delhi",21.217392,72.764974,21.110612,72.871232,18.95,48,55,Completed,,2025-11-02 00:01:33.829817,2025-11-02 00:05:33.829817,2025-11-02 01:00:33.829817
38,2112,4870,774,359,"Navrangpura, Ahmedabad","Andheri, Mumbai",21.245449,72.867197,21.128682,72.877429,16.09,37,33,No-Show,Driver cancelled,2025-12-25 04:29:40.269320,2025-12-25 04:35:40.269320,
39,3294,945,955,41,"Vesu, Surat","Kothrud, Pune",21.226388,72.894898,21.134479,72.777992,19.82,70,72,Cancelled,Driver not available,2025-12-10 22:56:39.859188,2025-12-10 23:10:39.859188,
40,2995,4682,967,340,"Bopal, Ahmedabad","Dwarka, Delhi",21.23385,72.898645,21.185616,72.781249,11.09,24,31,Cancelled,Customer cancelled,2026-02-19 21:43:51.710715,2026-02-19 21:47:51.710715,
41,2758,388,473,13,"Vesu, Surat","Adajan, Surat",21.212682,72.812233,21.205673,72.810871,17.06,43,38,Completed,,2025-12-27 09:49:38.940507,2025-12-27 09:58:38.940507,2025-12-27 10:36:38.940507
42,592,2124,781,674,"Powai, Mumbai","BTM Layout, Bangalore",21.248091,72.877797,21.150559,72.768574,14.67,41,48,Completed,,2025-11-26 17:27:25.904472,2025-11-26 17:40:25.904472,2025-11-26 18:28:25.904472
43,4938,3411,171,400,"Hinjewadi, Pune","Dwarka, Delhi",21.233767,72.885966,21.124642,72.837768,3.49,7,13,Completed,,2026-01-30 19:19:37.783613,2026-01-30 19:32:37.783613,2026-01-30 19:45:37.783613
44,1330,2529,562,753,"Hinjewadi, Pune","Connaught Place, Delhi",21.149456,72.894469,21.219444,72.894801,1.85,7,13,Completed,,2025-11-30 10:37:42.206506,2025-11-30 10:45:42.206506,2025-11-30 10:58:42.206506
45,3145,457,297,779,"Maninagar, Ahmedabad","Katargam, Surat",21.182747,72.770961,21.191607,72.772168,5.62,16,22,Completed,,2026-03-19 08:20:38.917979,2026-03-19 08:29:38.917979,2026-03-19 08:51:38.917979
46,1132,1989,704,796,"Connaught Place, Delhi","Dwarka, Delhi",21.110226,72.842417,21.171928,72.822649,7.64,19,20,Completed,,2026-02-08 16:09:57.380929,2026-02-08 16:20:57.380929,2026-02-08 16:40:57.380929
47,2073,1694,101,739,"Rohini, Delhi","Electronic City, Bangalore",21.151076,72.830725,21.188222,72.886617,1.73,6,15,Completed,,2026-04-04 20:14:02.433456,2026-04-04 20:28:02.433456,2026-04-04 20:43:02.433456
48,2311,1509,723,320,"Borivali, Mumbai","Indiranagar, Bangalore",21.223039,72.895219,21.233576,72.774567,9.73,20,25,Completed,,2026-01-01 17:18:04.786537,2026-01-01 17:33:04.786537,2026-01-01 17:58:04.786537
49,244,1933,972,253,"Whitefield, Bangalore","Indiranagar, Bangalore",21.128924,72.885396,21.191272,72.87633,13.62,38,37,Completed,,2025-12-08 16:12:44.078757,2025-12-08 16:16:44.078757,2025-12-08 16:53:44.078757
50,1822,728,802,433,"Rohini, Delhi","Satellite, Ahmedabad",21.125587,72.764858,21.223406,72.885043,9.99,22,22,Completed,,2026-02-16 03:08:38.864111,2026-02-16 03:14:38.864111,2026-02-16 03:36:38.864111
