Payment_ID,Ride_ID,Customer_ID,Payment_Method,Fare_Amount,Surge_Amount,Discount_Amount,Tax_Amount,Total_Amount,Payment_Status,Payment_Time
1,2074,3443,UPI,497.04,0.0,0.0,24.85,521.89,Paid,2025-12-03 23:17:00.930975
2,1498,4698,Card,117.39,58.55,0.0,8.8,184.74,Refunded,2026-03-21 13:57:22.732939
3,3261,1460,Cash,359.98,105.65,0.0,23.28,488.91,Paid,2026-01-25 07:36:31.670963
4,1741,3967,Cash,149.15,0.0,16.97,6.61,138.79,Paid,2025-11-15 21:03:55.512310
5,2784,869,UPI,285.14,0.0,0.0,14.26,299.4,Paid,2026-03-02 22:37:56.166738
6,4798,4215,Wallet,62.99,16.11,0.0,3.96,83.06,Paid,2026-02-28 19:24:02.687317
7,1427,3798,UPI,339.23,91.04,30.21,20.0,420.06,Paid,2026-03-13 10:01:15.059248
8,623,2315,Cash,142.58,0.0,0.0,7.13,149.71,Paid,2025-10-06 23:56:17.527396
9,4714,3970,Wallet,175.29,75.9,49.39,10.09,211.89,Paid,2025-12-29 07:23:58.222802
10,3628,1807,Cash,440.32,53.02,0.0,24.67,518.01,Paid,2025-10-24 03:07:34.847251
11,3337,1048,Wallet,286.69,0.0,0.0,14.33,301.02,Paid,2025-10-26 08:33:31.032661
12,4048,3661,UPI,359.1,0.0,0.0,17.96,377.06,Paid,2025-11-19 02:13:28.091405
13,1517,4169,Cash,291.07,0.0,0.0,14.55,305.62,Paid,2026-01-16 07:34:30.622815
14,4206,4438,UPI,374.12,0.0,0.0,18.71,392.83,Paid,2025-11-03 23:39:40.386981
15,1680,749,UPI,394.7,0.0,0.0,19.73,414.43,Paid,2026-03-22 02:42:22.277186
16,3674,1149,Card,94.73,0.0,11.28,4.17,87.62,Paid,2025-12-27 09:24:33.706120
17,4631,939,UPI,59.45,0.0,0.0,2.97,0.0,Failed,2026-01-05 02:48:51.926419
18,2930,4577,Cash,316.95,74.74,0.0,19.58,411.27,Paid,2025-10-15 13:35:55.567190
19,3395,113,UPI,191.4,0.0,44.78,7.33,153.95,Paid,2025-10-10 15:26:42.116620
20,1796,1520,Card,234.05,0.0,43.76,9.51,199.8,Paid,2025-11-14 04:21:54.850823
21,1778,1995,Cash,128.71,0.0,0.0,6.44,135.15,Paid,2025-12-31 12:35:13.205417
22,2909,1504,Card,213.04,0.0,0.0,10.65,223.69,Paid,2026-03-09 09:10:57.740792
23,2350,4038,Cash,302.66,0.0,65.72,11.85,248.79,Paid,2025-12-06 03:40:25.890179
24,2836,4141,Wallet,167.38,0.0,0.0,8.37,175.75,Paid,2026-02-19 17:40:20.271524
25,4671,3003,Card,389.68,0.0,0.0,19.48,409.16,Paid,2026-01-10 20:56:57.127317
26,420,4172,UPI,393.85,60.61,67.86,19.33,405.93,Paid,2025-11-18 19:46:40.127988
27,1940,832,Card,356.06,0.0,49.6,15.32,0.0,Failed,2025-12-15 07:35:41.486738
28,2189,1064,Card,230.32,0.0,0.0,11.52,241.84,Paid,2026-02-07 20:20:15.307827
29,1189,1717,UPI,498.34,0.0,0.0,24.92,523.26,Refunded,2026-01-20 07:46:34.026013
30,4876,269,UPI,357.61,0.0,0.0,17.88,375.49,Paid,2025-11-05 00:44:07.109343
31,3008,3124,Card,89.95,0.0,0.0,4.5,0.0,Failed,2025-12-02 00:53:45.732556
32,3701,4416,UPI,317.92,0.0,36.91,14.05,295.06,Paid,2025-10-17 13:40:30.542909
33,2158,1521,UPI,140.71,0.0,0.0,7.04,0.0,Failed,2025-10-15 03:17:23.283701
34,2616,818,Card,333.67,0.0,0.0,16.68,350.35,Paid,2025-10-08 23:29:59.871816
35,3351,2963,Card,256.97,0.0,0.0,12.85,269.82,Paid,2026-01-27 08:51:31.669667
36,3974,1409,UPI,344.15,0.0,0.0,17.21,0.0,Failed,2026-02-23 01:34:24.124968
37,1964,851,UPI,498.86,0.0,0.0,24.94,523.8,Paid,2026-02-12 06:22:41.301331
38,1666,1821,UPI,269.84,0.0,28.57,12.06,253.33,Paid,2026-02-02 18:45:02.123711
39,961,4877,UPI,164.09,0.0,24.75,6.97,146.31,Paid,2025-11-14 08:36:51.214900
40,4212,2699,UPI,349.44,0.0,0.0,17.47,366.91,Paid,2026-03-30 02:05:31.931380
41,945,416,UPI,379.57,96.39,0.0,23.8,499.76,Paid,2026-01-22 12:01:30.799440
42,2511,1695,UPI,232.19,107.53,0.0,16.99,0.0,Failed,2026-03-08 07:35:16.727236
43,4847,708,Cash,495.86,193.39,0.0,34.46,723.71,Refunded,2026-03-02 07:28:15.762335
44,1514,2675,UPI,131.39,57.0,0.0,9.42,197.81,Paid,2025-11-15 14:58:49.793737
45,2341,4397,Card,382.23,0.0,39.17,17.15,360.21,Refunded,2025-10-15 00:05:47.265168
46,4785,3214,UPI,318.74,0.0,0.0,15.94,0.0,Failed,2025-12-17 12:43:24.295491
47,4942,4027,UPI,355.85,36.7,104.91,14.38,302.02,Paid,2025-11-15 08:52:16.765489
48,4453,1055,UPI,233.06,0.0,0.0,11.65,244.71,Refunded,2026-02-11 05:04:05.111186
49,2792,2788,Cash,85.19,0.0,0.0,4.26,89.45,Paid,2025-11-28 06:40:04.526945
50,3383,4581,UPI,118.85,0.0,0.0,5.94,124.79,Paid,2025-11-18 12:13:56.434803
51,4697,2338,UPI,334.22,0.0,68.84,13.27,278.65,Paid,2026-03-12 22:44:27.219872
52,3741,30,Card,236.61,44.33,0.0,14.05,294.99,Paid,2026-03-23 15:31:54.071687
53,90,4034,UPI,280.8,0.0,0.0,14.04,294.84,Paid,2025-10-23 19:05:29.318940
54,2147,2056,Card,459.23,0.0,0.0,22.96,0.0,Failed,2026-04-01 07:39:06.069702
55,1985,2509,UPI,248.76,0.0,0.0,12.44,261.2,Paid,2025-12-01 13:25:47.165104
56,4960,211,Cash,71.81,30.2,0.0,5.1,107.11,Paid,2025-11-07 20:25:30.164943
57,1861,2354,UPI,190.94,0.0,0.0,9.55,200.49,Paid,2026-03-25 06:55:32.162196
58,3774,3583,Wallet,54.07,0.0,0.0,2.7,56.77,Paid,2025-12-06 05:32:14.598839
59,2604,3048,UPI,437.71,0.0,0.0,21.89,459.6,Paid,2025-10-27 09:43:07.634706
60,3805,359,UPI,66.86,0.0,4.46,3.12,65.52,Paid,2025-11-07 16:37:54.571267
61,486,3002,UPI,267.72,0.0,58.24,10.47,219.95,Paid,2025-12-16 10:03:23.010022
62,2818,4312,UPI,211.34,0.0,0.0,10.57,221.91,Paid,2026-03-17 05:04:25.144596
63,1018,1137,UPI,52.02,10.05,0.0,3.1,65.17,Paid,2026-02-04 07:35:26.707563
64,1389,4077,Wallet,150.76,0.0,0.0,7.54,158.3,Paid,2026-03-24 04:53:12.807297
65,1904,801,UPI,185.14,0.0,0.0,9.26,0.0,Failed,2025-12-13 16:20:38.509886
66,1499,3191,Cash,202.48,0.0,0.0,10.12,212.6,Paid,2026-04-02 02:08:23.036390
67,2118,4039,Card,66.1,0.0,0.0,3.3,0.0,Failed,2025-12-07 11:20:38.000510
68,3116,2796,Wallet,246.52,78.47,70.02,12.75,267.72,Paid,2026-01-24 01:48:12.492691
69,1357,609,UPI,182.16,0.0,0.0,9.11,191.27,Paid,2025-11-29 17:19:50.695422
70,3835,4692,Card,393.97,0.0,90.47,15.18,318.68,Paid,2025-10-08 08:33:21.626152
71,1027,2449,UPI,358.82,0.0,89.01,13.49,283.3,Paid,2025-10-12 15:16:46.699002
72,4853,370,Cash,113.12,56.24,25.36,7.2,151.2,Paid,2025-11-25 04:41:46.341157
73,2115,1463,UPI,194.49,41.47,0.0,11.8,247.76,Paid,2026-01-27 15:28:31.248274
74,4831,812,UPI,309.56,0.0,0.0,15.48,325.04,Refunded,2026-01-25 20:14:15.191886
75,1411,2572,UPI,260.99,0.0,47.23,10.69,224.45,Paid,2025-10-27 06:34:59.941910
76,3993,1166,Cash,251.93,0.0,0.0,12.6,264.53,Paid,2026-01-01 06:56:08.934107
77,5000,2329,UPI,199.84,0.0,0.0,9.99,209.83,Paid,2026-02-23 08:48:36.766730
78,2613,3923,UPI,400.66,0.0,0.0,20.03,420.69,Paid,2026-01-06 13:58:14.968549
79,2132,4107,Card,194.56,0.0,0.0,9.73,204.29,Paid,2025-12-01 02:59:35.169161
80,3535,1420,Cash,245.58,0.0,18.74,11.34,238.18,Paid,2026-01-02 05:46:38.633922
81,3241,1877,Card,251.39,0.0,32.24,10.96,230.11,Paid,2025-11-03 07:43:00.216771
82,1640,504,UPI,436.87,0.0,0.0,21.84,458.71,Paid,2025-12-24 18:24:50.236850
83,75,3350,UPI,269.04,0.0,0.0,13.45,0.0,Failed,2025-12-16 04:23:25.796379
84,1019,1147,UPI,325.38,0.0,0.0,16.27,341.65,Paid,2025-10-22 22:57:34.834310
85,3852,4524,Cash,229.56,0.0,0.0,11.48,241.04,Paid,2026-02-22 02:43:22.932623
86,3399,2728,Wallet,295.67,84.96,0.0,19.03,399.66,Paid,2025-11-18 23:10:15.639636
87,3546,2177,UPI,244.61,32.09,0.0,13.84,290.54,Paid,2026-02-02 04:01:47.381677
88,2170,3021,UPI,331.84,0.0,43.23,14.43,303.04,Paid,2026-01-03 11:40:06.218755
89,2078,4418,UPI,295.06,0.0,21.89,13.66,286.83,Refunded,2025-12-01 02:52:24.429686
90,1193,3341,UPI,495.53,0.0,0.0,24.78,520.31,Paid,2025-10-19 06:41:35.258250
91,3320,2063,Cash,144.35,56.47,32.59,8.41,176.64,Paid,2026-04-03 04:35:58.729237
92,176,2107,Cash,204.47,0.0,45.73,7.94,166.68,Paid,2026-01-23 23:21:00.952785
93,336,4025,Card,98.4,39.43,0.0,6.89,144.72,Paid,2026-01-07 16:52:25.382349
94,1320,985,UPI,308.8,0.0,0.0,15.44,0.0,Failed,2025-10-23 01:24:18.644601
95,1196,622,UPI,180.87,0.0,49.44,6.57,138.0,Paid,2025-11-14 05:30:25.012920
96,2042,3620,UPI,365.31,174.14,0.0,26.97,566.42,Paid,2026-03-06 17:09:32.653868
97,4712,19,UPI,256.81,0.0,0.0,12.84,269.65,Paid,2025-12-28 11:56:15.223592
98,2256,3518,UPI,467.38,0.0,138.87,16.43,344.94,Paid,2025-11-20 10:58:43.929891
99,3234,4044,UPI,434.92,0.0,0.0,21.75,456.67,Paid,2026-01-24 10:05:20.086311
100,1038,4803,UPI,211.19,0.0,0.0,10.56,221.75,Paid,2026-01-13 20:41:03.690109
101,2741,1417,Card,353.17,0.0,41.76,15.57,0.0,Failed,2026-02-22 01:31:43.091600
102,4125,3907,UPI,301.06,0.0,0.0,15.05,316.11,Paid,2025-12-06 06:57:53.845550
103,1625,888,UPI,233.06,0.0,66.02,8.35,175.39,Paid,2025-11-06 16:08:10.558952
104,3534,1827,UPI,113.89,24.9,0.0,6.94,145.73,Paid,2025-12-12 11:52:20.772789
105,1369,1716,UPI,485.18,0.0,0.0,24.26,509.44,Paid,2025-12-13 20:04:41.913298
106,3356,2097,UPI,356.98,0.0,0.0,17.85,374.83,Paid,2026-02-12 16:25:43.934015
107,3246,4937,UPI,143.84,0.0,30.08,5.69,119.45,Paid,2026-01-20 00:21:34.595307
