Booking_ID,Customer_ID,Booking_Date,Booking_Time,Number_of_People,Table_Number,Booking_Status
1,2057,2025-12-23,17:00:00.263340,6,20,Completed
2,333,2025-08-15,22:15:00.552665,7,9,Completed
3,3780,2025-06-10,15:15:00.436724,7,4,Completed
4,2672,2025-07-13,15:45:00.862912,3,19,Completed
5,1004,2025-12-21,11:00:00.243676,7,11,Confirmed
6,2584,2025-08-29,18:45:00.551902,8,16,Completed
7,2721,2026-03-11,19:30:00.330936,2,20,Confirmed
8,2782,2026-02-15,13:00:00.911297,2,16,Completed
9,4085,2025-06-30,13:45:00.327269,6,16,Cancelled
10,1120,2026-02-22,10:15:00.845793,6,4,Completed
11,2371,2026-04-04,10:30:00.439617,5,1,Confirmed
12,2535,2025-10-15,19:00:00.598211,2,15,Completed
13,2224,2025-09-24,19:45:00.220008,8,15,Confirmed
14,52,2025-08-25,20:30:00.244876,6,14,Completed
15,3708,2025-09-08,15:45:00.632038,1,7,Completed
16,761,2025-07-28,12:15:00.449649,4,19,Confirmed
17,115,2026-03-30,12:00:00.890671,7,2,Cancelled
18,303,2025-08-28,17:00:00.591843,2,8,Completed
19,1672,2025-10-14,22:00:00.311920,4,17,Confirmed
20,3577,2025-12-21,21:45:00.352563,1,19,Completed
21,3543,2025-07-25,14:30:00.565581,2,12,Completed
22,942,2026-01-06,11:15:00.455838,6,12,Completed
23,761,2025-10-05,11:15:00.407007,2,16,Confirmed
24,1298,2025-08-09,20:00:00.843680,8,4,Completed
25,2625,2026-03-02,16:30:00.583572,5,7,Confirmed
26,1287,2026-01-20,12:15:00.572039,5,10,Completed
27,3258,2025-07-07,22:45:00.132556,8,15,Completed
28,2736,2025-06-13,20:30:00.623215,6,6,Completed
29,735,2026-03-23,17:30:00.783339,6,11,Completed
30,3120,2025-09-27,13:45:00.337803,4,17,Completed
31,439,2025-05-12,19:30:00.408165,4,20,Completed
32,449,2025-05-15,16:00:00.328873,5,8,Completed
33,2983,2025-10-18,15:45:00.461007,6,15,Confirmed
34,1770,2025-09-29,13:45:00.392799,3,16,Completed
35,2797,2025-06-26,22:15:00.003374,1,4,Completed
36,1723,2025-11-07,10:45:00.275984,5,6,Completed
37,4009,2025-09-21,18:45:00.538248,8,3,Cancelled
