Order_Item_ID,Order_ID,Item_ID,Quantity,Price_Per_Item,Total_Price
1,1,37,3,97,291
2,1,26,2,74,148
3,1,13,2,112,224
4,2,47,1,283,283
5,2,44,2,154,308
6,2,21,1,178,178
7,2,3,3,228,684
8,2,18,2,294,588
9,3,47,3,283,849
10,3,37,3,97,291
11,3,21,3,178,534
12,3,15,2,175,350
13,3,4,2,196,392
14,4,6,2,158,316
15,4,31,2,247,494
16,4,40,3,275,825
17,4,14,3,154,462
18,4,29,1,170,170
19,5,27,3,258,774
20,5,38,1,128,128
21,5,15,2,175,350
22,6,33,2,269,538
23,6,46,1,174,174
24,7,4,2,196,392
25,7,10,2,290,580
26,8,1,2,280,560
27,8,36,2,203,406
28,9,31,2,247,494
29,9,41,3,78,234
30,10,40,1,275,275
31,10,48,2,255,510
32,10,41,1,78,78
33,10,33,3,269,807
34,10,36,3,203,609
35,11,11,1,245,245
36,11,5,3,164,492
37,11,45,3,66,198
38,11,4,1,196,196
39,12,5,1,164,164
40,12,24,2,245,490
41,13,6,1,158,158
42,13,34,2,218,436
43,13,4,1,196,196
44,13,1,3,280,840
45,14,21,2,178,356
46,14,37,1,97,97
47,14,41,2,78,156
48,15,33,1,269,269
49,15,21,3,178,534
50,15,23,1,266,266
51,15,30,3,62,186
52,16,41,3,78,234
53,16,38,3,128,384
54,16,31,3,247,741
55,16,5,2,164,328
56,16,10,3,290,870
57,17,14,1,154,154
58,17,13,1,112,112
59,17,49,2,272,544
60,18,28,3,236,708
61,18,47,3,283,849
62,18,40,3,275,825
63,18,2,3,162,486
64,18,7,2,228,456
65,19,45,2,66,132
66,19,17,3,74,222
67,19,2,3,162,486
68,19,40,3,275,825
69,19,24,3,245,735
70,20,12,2,183,366
71,20,50,3,116,348
72,20,10,1,290,290
73,21,36,3,203,609
74,21,22,1,213,213
75,21,41,1,78,78
76,21,34,2,218,436
77,22,25,3,228,684
78,22,41,3,78,234
79,23,36,3,203,609
80,23,6,3,158,474
81,23,30,3,62,186
82,23,22,1,213,213
83,24,41,1,78,78
84,24,35,1,121,121
85,24,48,2,255,510
86,24,39,1,259,259
87,24,46,2,174,348
88,25,26,3,74,222
89,25,22,1,213,213
90,25,4,1,196,196
91,26,25,1,228,228
92,27,1,2,280,560
93,27,44,2,154,308
94,27,23,1,266,266
95,28,11,3,245,735
96,28,14,2,154,308
97,28,7,1,228,228
98,28,2,1,162,162
99,28,12,1,183,183
100,29,32,2,174,348
101,29,24,1,245,245
102,29,5,2,164,328
103,29,40,1,275,275
104,30,12,2,183,366
105,30,33,1,269,269
106,30,14,1,154,154
107,31,31,1,247,247
108,31,30,3,62,186
109,31,43,2,166,332
110,31,16,3,105,315
111,31,17,3,74,222
112,32,32,2,174,348
113,32,46,2,174,348
114,32,2,3,162,486
115,33,18,3,294,882
116,33,30,3,62,186
117,33,37,3,97,291
118,33,1,1,280,280
119,34,17,3,74,222
120,34,4,3,196,588
121,34,30,1,62,62
122,35,44,1,154,154
123,35,41,1,78,78
124,35,22,2,213,426
125,36,31,1,247,247
126,36,24,3,245,735
127,36,35,1,121,121
128,37,9,3,71,213
129,37,31,1,247,247
130,38,35,1,121,121
131,38,50,2,116,232
132,39,10,1,290,290
133,39,7,3,228,684
134,39,28,3,236,708
135,39,15,3,175,525
136,40,22,2,213,426
137,41,44,2,154,308
138,41,34,1,218,218
139,41,48,2,255,510
140,41,30,2,62,124
141,42,11,3,245,735
142,43,48,3,255,765
143,43,12,1,183,183
144,43,28,2,236,472
145,44,19,3,281,843
146,44,23,3,266,798
