Order_ID,Customer_ID,Booking_ID,Order_Date,Order_Time,Order_Type,Table_Number,Order_Status,Total_Amount,Discount,Final_Amount
1,78,4597.0,2026-01-31,21:15:00.481195,Takeaway,,Completed,924,0.0,924.0
2,3594,1835.0,2025-11-15,20:30:00.654078,Dine-in,16.0,Completed,797,0.0,797.0
3,1897,779.0,2025-08-30,14:00:00.173687,Dine-in,9.0,Completed,905,0.0,905.0
4,1822,,2025-09-21,16:15:00.608638,Dine-in,11.0,Completed,747,0.0,747.0
5,337,2602.0,2025-08-22,17:30:00.927036,Takeaway,,Completed,1158,82.78,1075.22
6,824,,2025-09-01,14:00:00.223280,Takeaway,,Completed,472,0.0,472.0
7,663,2569.0,2025-04-13,23:30:00.609623,Dine-in,6.0,Completed,817,0.0,817.0
8,1154,,2025-11-12,16:00:00.567442,Takeaway,,Completed,1021,0.0,1021.0
9,619,,2025-12-23,18:45:00.468801,Dine-in,20.0,Completed,668,0.0,668.0
10,2205,,2025-07-09,17:30:00.674862,Takeaway,,Completed,1168,0.0,1168.0
11,1012,4290.0,2025-09-12,16:45:00.357649,Takeaway,,Cancelled,1059,0.0,1059.0
12,4679,,2025-08-23,10:30:00.024620,Takeaway,,Completed,934,109.1,824.9
13,3033,2695.0,2025-10-27,20:15:00.271523,Takeaway,,Completed,422,0.0,422.0
14,4912,,2025-12-11,18:45:00.952257,Dine-in,1.0,Completed,164,0.0,164.0
15,307,2765.0,2026-01-12,15:45:00.092287,Dine-in,11.0,Completed,892,0.0,892.0
16,1014,2683.0,2025-06-27,23:45:00.542956,Dine-in,15.0,Completed,214,37.19,176.81
17,4067,62.0,2025-09-04,11:30:00.950712,Dine-in,13.0,Completed,1089,0.0,1089.0
18,3334,2071.0,2025-09-27,22:45:00.473851,Takeaway,,Completed,960,0.0,960.0
19,53,,2026-03-27,17:30:00.033563,Takeaway,,Completed,157,0.0,157.0
20,3438,,2026-03-09,22:45:00.032388,Takeaway,,Pending,292,0.0,292.0
21,127,,2025-05-06,11:45:00.384993,Dine-in,9.0,Completed,195,0.0,195.0
22,4272,,2025-04-10,11:00:00.857159,Dine-in,15.0,Completed,1145,149.1,995.9
23,985,,2025-06-23,09:00:00.410811,Takeaway,,Completed,941,60.67,880.33
24,4289,,2025-10-10,18:45:00.500183,Dine-in,17.0,Completed,303,0.0,303.0
25,788,2551.0,2025-07-26,22:30:00.701872,Takeaway,,Pending,220,0.0,220.0
26,4979,3010.0,2025-10-03,23:00:00.394946,Dine-in,19.0,Cancelled,158,27.06,130.94
27,3846,,2025-04-04,09:45:00.607959,Dine-in,13.0,Pending,931,0.0,931.0
28,4138,3437.0,2025-12-12,23:45:00.648607,Takeaway,,Completed,205,0.0,205.0
29,2797,,2025-07-20,16:15:00.764649,Takeaway,,Completed,108,19.14,88.86
30,2095,,2026-01-11,09:45:00.868416,Dine-in,16.0,Pending,283,0.0,283.0
31,2894,,2025-11-09,20:45:00.693742,Takeaway,,Completed,204,0.0,204.0
32,3752,1568.0,2025-07-12,20:00:00.225043,Takeaway,,Completed,1185,101.38,1083.62
33,670,2908.0,2025-05-27,21:15:00.742105,Dine-in,2.0,Completed,770,0.0,770.0
34,1013,,2025-09-08,18:15:00.937080,Takeaway,,Completed,1037,0.0,1037.0
35,4973,2281.0,2025-06-11,13:00:00.619257,Dine-in,11.0,Completed,1117,99.36,1017.64
36,2079,,2025-07-29,16:00:00.410676,Takeaway,,Completed,564,0.0,564.0
37,2458,1474.0,2025-05-19,16:15:00.471923,Dine-in,1.0,Completed,1036,77.47,958.53
38,1840,1385.0,2026-01-14,10:15:00.394181,Dine-in,6.0,Completed,100,0.0,100.0
39,2805,,2025-06-06,12:30:00.708016,Dine-in,4.0,Completed,662,0.0,662.0
40,686,,2025-08-03,09:45:00.315003,Takeaway,,Completed,192,19.25,172.75
41,1438,,2026-02-19,21:00:00.610574,Dine-in,20.0,Completed,590,0.0,590.0
42,3369,2623.0,2026-01-13,21:15:00.073640,Takeaway,,Pending,1017,65.12,951.88
43,4678,2309.0,2026-04-02,14:45:00.201168,Dine-in,17.0,Pending,1196,192.32,1003.68
44,1057,586.0,2025-07-14,20:45:00.315716,Dine-in,15.0,Completed,299,0.0,299.0
45,3255,1792.0,2026-03-29,17:00:00.977325,Dine-in,3.0,Pending,859,0.0,859.0
46,529,4947.0,2025-10-02,19:00:00.021326,Takeaway,,Pending,988,0.0,988.0
47,65,742.0,2025-12-26,21:15:00.957183,Dine-in,15.0,Pending,119,0.0,119.0
48,4538,4269.0,2026-03-05,17:00:00.525131,Dine-in,15.0,Completed,418,79.4,338.6
49,1743,,2025-11-05,21:45:00.173501,Takeaway,,Pending,971,0.0,971.0
50,4941,,2025-06-07,20:15:00.311603,Dine-in,9.0,Cancelled,112,6.14,105.86
51,2651,3283.0,2025-08-24,12:30:00.551119,Dine-in,19.0,Completed,577,0.0,577.0
52,146,678.0,2026-01-08,13:15:00.204298,Dine-in,17.0,Pending,602,75.6,526.4
53,1924,4689.0,2026-01-02,21:00:00.259799,Dine-in,12.0,Completed,1056,0.0,1056.0
54,4576,,2025-08-12,11:30:00.465530,Dine-in,3.0,Completed,1188,0.0,1188.0
55,4966,2616.0,2025-12-15,13:00:00.951927,Dine-in,15.0,Completed,327,0.0,327.0
56,2081,,2025-05-08,22:45:00.754700,Takeaway,,Completed,447,0.0,447.0
57,1103,4542.0,2025-11-07,11:15:00.134359,Takeaway,,Completed,683,0.0,683.0
58,2587,,2025-06-21,13:30:00.198243,Takeaway,,Completed,901,0.0,901.0
59,3503,,2026-03-02,22:45:00.269693,Dine-in,14.0,Completed,696,0.0,696.0
60,251,,2025-06-20,15:30:00.990951,Dine-in,10.0,Completed,834,0.0,834.0
61,1880,,2025-11-25,20:00:00.248473,Takeaway,,Completed,641,0.0,641.0
62,1470,1405.0,2025-07-17,12:30:00.503559,Dine-in,19.0,Cancelled,290,0.0,290.0
63,4738,,2026-01-06,19:00:00.772999,Dine-in,11.0,Pending,662,0.0,662.0
64,3820,,2026-02-09,10:15:00.390237,Takeaway,,Completed,422,0.0,422.0
65,4237,2940.0,2026-01-22,22:00:00.490870,Dine-in,16.0,Completed,359,0.0,359.0
66,2857,2121.0,2025-08-23,20:45:00.771064,Dine-in,12.0,Completed,238,0.0,238.0
67,4429,3340.0,2025-05-29,17:30:00.300491,Dine-in,12.0,Completed,772,0.0,772.0
