Payment_ID,Order_ID,Payment_Date,Payment_Method,Payment_Status,Amount_Paid
1,1,2026-01-16,Card,Paid,252
2,2,2025-09-03,UPI,Pending,419
3,3,2025-08-06,Cash,Paid,280
4,4,2025-07-26,Cash,Paid,362
5,5,2025-12-13,UPI,Paid,213
6,6,2025-08-10,UPI,Paid,928
7,7,2025-04-29,Cash,Paid,321
8,8,2026-03-07,Card,Paid,254
9,9,2025-04-11,Card,Pending,202
10,10,2025-04-30,UPI,Failed,0
11,11,2026-03-18,Cash,Paid,1169
12,12,2025-12-07,Card,Paid,915
13,13,2026-03-11,Card,Pending,303
14,14,2025-07-15,UPI,Paid,616
15,15,2025-06-17,UPI,Paid,802
16,16,2025-07-04,UPI,Paid,706
17,17,2026-03-31,UPI,Paid,1097
18,18,2026-03-20,Card,Paid,964
19,19,2026-01-04,Card,Paid,1105
20,20,2026-01-16,Card,Paid,215
21,21,2025-05-20,UPI,Pending,182
22,22,2025-05-04,UPI,Paid,931
23,23,2025-04-26,UPI,Paid,504
24,24,2025-04-18,Card,Paid,1111
25,25,2026-02-25,Card,Pending,163
26,26,2026-03-14,Card,Paid,1153
27,27,2026-01-12,UPI,Paid,1177
28,28,2025-10-01,Cash,Paid,554
29,29,2026-01-13,UPI,Paid,140
30,30,2025-12-16,UPI,Paid,385
31,31,2025-11-18,Card,Paid,828
32,32,2025-05-24,Card,Pending,161
33,33,2026-01-07,UPI,Paid,726
34,34,2025-09-09,UPI,Paid,332
35,35,2025-05-28,UPI,Paid,1193
36,36,2026-03-19,UPI,Pending,103
37,37,2026-03-29,UPI,Pending,430
38,38,2025-08-22,UPI,Paid,1029
39,39,2025-09-24,UPI,Pending,189
40,40,2025-06-10,UPI,Paid,978
41,41,2025-09-20,Cash,Paid,324
42,42,2025-12-23,UPI,Paid,752
43,43,2025-05-22,UPI,Paid,1011
44,44,2025-06-18,UPI,Paid,1040
45,45,2025-08-28,Cash,Paid,991
46,46,2025-08-08,UPI,Paid,298
47,47,2025-06-12,Card,Paid,670
48,48,2025-10-18,Cash,Paid,516
49,49,2026-02-04,Card,Paid,441
50,50,2025-06-02,UPI,Paid,690
51,51,2026-03-11,UPI,Paid,845
52,52,2025-04-29,Cash,Paid,772
53,53,2025-04-18,UPI,Paid,640
54,54,2025-11-25,UPI,Pending,57
55,55,2025-07-15,Cash,Paid,521
56,56,2025-09-26,Cash,Paid,857
57,57,2026-03-01,UPI,Failed,0
58,58,2025-05-18,Cash,Paid,355
59,59,2025-11-11,Card,Paid,269
60,60,2025-12-15,Card,Paid,200
61,61,2025-05-29,Card,Paid,1016
62,62,2025-07-15,Card,Paid,922
63,63,2025-08-29,Cash,Paid,591
64,64,2026-03-15,UPI,Paid,473
65,65,2025-12-01,Cash,Pending,331
66,66,2025-11-01,Card,Paid,1119
67,67,2026-02-23,UPI,Pending,155
68,68,2026-03-22,UPI,Paid,198
69,69,2025-08-15,Card,Paid,708
70,70,2025-05-15,UPI,Paid,490
71,71,2025-10-13,Card,Paid,660
72,72,2026-01-17,UPI,Paid,904
73,73,2025-09-27,Card,Paid,1077
74,74,2025-04-12,UPI,Paid,883
75,75,2025-04-15,UPI,Paid,370
76,76,2025-06-08,Card,Paid,151
77,77,2025-06-26,Card,Paid,316
78,78,2025-07-13,UPI,Pending,486
79,79,2025-11-12,Card,Paid,685
80,80,2026-01-18,Cash,Paid,1092
81,81,2025-12-14,UPI,Paid,1038
82,82,2026-03-25,UPI,Paid,592
83,83,2026-02-13,UPI,Paid,952
84,84,2025-05-01,UPI,Paid,1171
85,85,2026-02-26,Card,Paid,410
86,86,2025-12-06,UPI,Paid,238
87,87,2025-08-04,Card,Paid,341
88,88,2025-05-15,UPI,Paid,1135
89,89,2025-08-05,UPI,Paid,794
90,90,2025-07-13,Cash,Paid,721
91,91,2025-11-26,UPI,Paid,602
92,92,2025-09-27,UPI,Paid,987
93,93,2025-08-17,Card,Paid,111
94,94,2025-09-15,UPI,Failed,0
95,95,2025-08-22,Card,Paid,446
96,96,2025-07-05,Card,Paid,873
97,97,2025-05-01,Cash,Paid,1065
98,98,2025-06-15,UPI,Pending,224
99,99,2026-03-24,UPI,Paid,1041
100,100,2025-11-30,UPI,Paid,209
101,101,2026-03-02,Card,Paid,347
102,102,2026-02-06,Cash,Paid,549
103,103,2025-09-06,Card,Paid,651
104,104,2026-03-20,Card,Paid,601
105,105,2025-09-28,Card,Paid,220
106,106,2025-05-27,Card,Paid,822
107,107,2025-07-10,Cash,Paid,730
108,108,2025-11-02,UPI,Pending,352
109,109,2025-11-19,Cash,Paid,1125
110,110,2026-01-07,UPI,Paid,310
111,111,2026-03-03,UPI,Paid,1177
112,112,2026-03-06,UPI,Paid,597
113,113,2025-07-20,Cash,Paid,389
114,114,2025-08-01,UPI,Pending,357
115,115,2026-02-20,Cash,Paid,586
116,116,2025-09-23,Cash,Pending,380
117,117,2025-10-23,Card,Pending,315
118,118,2025-07-21,Card,Failed,0
119,119,2025-10-08,UPI,Paid,1055
120,120,2025-08-23,UPI,Paid,633
121,121,2025-12-25,UPI,Paid,326
122,122,2025-11-18,Card,Failed,0
123,123,2025-11-08,Card,Failed,0
124,124,2025-09-14,Cash,Paid,610
125,125,2026-02-19,Card,Paid,574
126,126,2025-09-11,Cash,Paid,626
127,127,2025-07-31,Card,Paid,1034
128,128,2025-08-25,UPI,Paid,261
129,129,2025-12-05,Card,Paid,1111
130,130,2025-12-25,Card,Paid,818
131,131,2026-02-10,UPI,Paid,1114
132,132,2025-05-23,UPI,Paid,1166
133,133,2026-01-26,Cash,Paid,1169
134,134,2026-02-23,Cash,Paid,389
135,135,2025-12-09,UPI,Paid,649
136,136,2026-01-11,UPI,Paid,339
137,137,2026-02-07,Cash,Failed,0
138,138,2026-02-20,UPI,Paid,1040
139,139,2026-03-30,Cash,Paid,974
140,140,2025-06-13,UPI,Paid,1177
141,141,2026-01-07,UPI,Failed,0
142,142,2025-10-28,UPI,Paid,720
143,143,2025-05-04,Cash,Paid,816
144,144,2025-11-26,UPI,Pending,239
145,145,2025-07-25,Card,Paid,655
146,146,2025-09-02,Card,Failed,0
147,147,2025-11-21,Card,Paid,1150
148,148,2025-09-23,UPI,Paid,1071
149,149,2025-08-23,UPI,Paid,805
150,150,2026-03-02,Cash,Paid,196
151,151,2025-11-25,Card,Paid,436
152,152,2026-01-15,UPI,Paid,239
153,153,2025-04-20,UPI,Pending,325
154,154,2025-09-06,UPI,Paid,670
155,155,2025-10-21,Card,Paid,795
156,156,2025-07-03,UPI,Paid,988
157,157,2026-03-23,UPI,Paid,730
158,158,2025-12-07,Card,Paid,256
159,159,2025-08-12,UPI,Paid,357
160,160,2025-05-25,UPI,Paid,483
161,161,2025-08-27,Card,Paid,1070
162,162,2026-03-31,UPI,Paid,440
163,163,2026-02-24,Cash,Paid,1015
164,164,2025-07-16,Cash,Paid,375
165,165,2025-12-22,UPI,Paid,940
166,166,2026-01-30,Cash,Paid,848
167,167,2025-04-21,Cash,Paid,994
168,168,2025-07-24,Cash,Paid,604
169,169,2025-11-18,UPI,Paid,783
170,170,2025-08-01,Card,Pending,493
171,171,2025-06-23,Cash,Paid,900
172,172,2025-10-21,UPI,Paid,701
173,173,2025-09-23,Cash,Paid,667
174,174,2025-05-17,Cash,Paid,1002
175,175,2025-09-12,Card,Paid,232
176,176,2025-09-23,Card,Paid,1126
177,177,2025-09-02,Card,Paid,512
178,178,2025-05-09,Card,Paid,744
179,179,2025-08-20,Card,Paid,646
180,180,2025-12-02,Card,Paid,954
181,181,2026-01-13,Card,Paid,1200
182,182,2025-07-14,Card,Paid,1182
183,183,2025-11-29,Card,Paid,268
184,184,2026-03-16,UPI,Paid,1041
185,185,2025-12-03,Cash,Paid,696
186,186,2026-03-29,Card,Paid,971
187,187,2025-12-28,UPI,Paid,987
188,188,2025-11-29,Card,Pending,347
189,189,2025-10-11,Cash,Paid,523
190,190,2025-07-03,Card,Failed,0
191,191,2025-10-17,Card,Paid,877
192,192,2025-09-18,UPI,Paid,1106
193,193,2025-05-16,UPI,Paid,887
194,194,2025-08-12,UPI,Paid,1050
195,195,2025-11-15,Cash,Paid,509
196,196,2025-11-13,UPI,Paid,993
197,197,2025-05-27,Cash,Paid,871
198,198,2025-10-09,Card,Paid,149
199,199,2025-04-19,Cash,Paid,239
200,200,2025-05-23,UPI,Paid,329
201,201,2026-02-01,Card,Paid,461
202,202,2026-03-27,UPI,Paid,989
203,203,2026-01-15,UPI,Paid,230
204,204,2025-04-26,UPI,Paid,1167
205,205,2025-07-01,UPI,Paid,314
206,206,2025-04-22,Cash,Paid,148
207,207,2026-01-29,UPI,Paid,1149
208,208,2025-08-18,Cash,Paid,247
209,209,2025-12-14,Card,Paid,873
210,210,2025-12-18,UPI,Paid,921
211,211,2025-09-01,UPI,Paid,1072
212,212,2025-06-27,UPI,Paid,856
213,213,2025-04-14,UPI,Paid,642
214,214,2026-01-13,UPI,Failed,0
215,215,2025-09-12,Cash,Paid,1006
216,216,2025-08-31,Card,Pending,108
217,217,2025-06-30,UPI,Failed,0
218,218,2025-10-25,UPI,Paid,401
219,219,2026-03-01,UPI,Paid,1065
220,220,2025-09-26,UPI,Paid,580
221,221,2025-12-22,Cash,Pending,102
222,222,2025-04-24,Cash,Paid,921
223,223,2025-10-07,Cash,Paid,1102
224,224,2026-02-04,Card,Paid,1093
225,225,2025-06-06,UPI,Paid,1172
226,226,2026-02-14,Card,Pending,124
227,227,2025-10-02,Card,Paid,755
228,228,2025-05-28,UPI,Paid,650
229,229,2026-02-02,UPI,Paid,156
230,230,2026-01-19,Card,Pending,352
231,231,2025-08-19,UPI,Pending,375
232,232,2025-07-07,UPI,Paid,719
233,233,2026-02-12,Card,Pending,296
234,234,2025-06-25,UPI,Paid,545
235,235,2025-12-09,Card,Pending,432
236,236,2025-09-12,UPI,Paid,594
237,237,2025-12-06,UPI,Paid,131
238,238,2026-02-21,UPI,Paid,686
239,239,2025-08-09,Cash,Paid,438
240,240,2025-10-15,UPI,Paid,753
241,241,2025-05-15,UPI,Paid,971
242,242,2025-06-15,UPI,Paid,256
243,243,2025-05-14,UPI,Paid,626
244,244,2025-07-17,Card,Paid,365
245,245,2025-07-09,Card,Paid,848
246,246,2025-12-03,UPI,Paid,234
247,247,2025-11-22,Card,Paid,755
248,248,2025-09-03,UPI,Paid,329
249,249,2026-01-18,UPI,Paid,871
250,250,2025-11-05,UPI,Paid,301
251,251,2025-07-07,UPI,Paid,834
252,252,2025-09-28,Card,Paid,513
253,253,2025-10-30,UPI,Paid,655
254,254,2025-07-09,UPI,Paid,1075
255,255,2026-03-08,Cash,Paid,1126
256,256,2025-04-09,UPI,Paid,1098
257,257,2025-08-17,Card,Pending,244
258,258,2026-01-18,Cash,Paid,1187
259,259,2026-01-09,UPI,Paid,1039
260,260,2025-06-23,Card,Paid,316
261,261,2025-12-18,Card,Paid,187
262,262,2025-09-19,Cash,Pending,456
263,263,2026-03-27,Cash,Paid,812
264,264,2026-02-24,UPI,Pending,222
265,265,2025-05-20,Cash,Paid,291
266,266,2025-04-24,UPI,Paid,317
267,267,2025-05-09,UPI,Paid,480
268,268,2025-12-03,Card,Paid,989
269,269,2025-12-19,UPI,Paid,1134
270,270,2026-02-05,Cash,Failed,0
271,271,2025-04-06,UPI,Paid,595
272,272,2025-07-20,UPI,Paid,233
273,273,2025-08-12,UPI,Paid,645
274,274,2025-06-10,Card,Paid,597
275,275,2026-03-29,UPI,Paid,730
276,276,2025-04-07,Card,Paid,417
277,277,2025-09-12,Cash,Failed,0
278,278,2026-03-15,UPI,Paid,963
279,279,2025-11-19,Cash,Paid,1184
280,280,2026-02-26,UPI,Paid,1015
281,281,2026-03-02,UPI,Paid,134
282,282,2025-11-18,Cash,Paid,213
283,283,2025-10-02,UPI,Paid,471
284,284,2025-10-27,Cash,Paid,420
285,285,2026-01-23,UPI,Paid,317
286,286,2025-11-20,UPI,Paid,412
287,287,2025-04-13,UPI,Paid,525
288,288,2025-05-16,UPI,Paid,758
289,289,2026-01-04,UPI,Paid,669
290,290,2026-03-15,Cash,Failed,0
291,291,2026-03-24,Cash,Paid,286
292,292,2025-11-07,Cash,Paid,317
293,293,2025-08-31,UPI,Paid,215
294,294,2026-01-20,UPI,Paid,481
295,295,2025-12-20,UPI,Paid,733
296,296,2025-07-16,UPI,Paid,470
297,297,2025-12-01,UPI,Paid,1157
298,298,2025-06-17,UPI,Paid,217
299,299,2025-10-07,UPI,Pending,346
300,300,2025-04-18,Cash,Paid,406
301,301,2025-09-05,Card,Pending,380
302,302,2025-06-05,UPI,Paid,259
303,303,2025-11-27,Card,Pending,179
304,304,2026-02-15,Card,Paid,229
305,305,2025-09-06,Card,Paid,808
306,306,2025-07-13,UPI,Pending,260
307,307,2025-06-22,UPI,Paid,462
308,308,2025-11-12,UPI,Paid,1095
309,309,2025-06-11,UPI,Paid,513
310,310,2025-08-05,UPI,Paid,267
311,311,2025-08-30,UPI,Paid,860
312,312,2025-09-16,UPI,Paid,134
313,313,2025-04-08,Card,Paid,685
314,314,2026-02-26,Card,Paid,568
315,315,2025-07-25,Card,Paid,746
316,316,2025-11-06,UPI,Paid,931
317,317,2025-11-11,UPI,Paid,527
318,318,2025-04-21,UPI,Paid,714
319,319,2025-11-10,Cash,Paid,133
320,320,2025-07-08,Card,Failed,0
321,321,2025-04-06,Card,Paid,909
322,322,2025-10-21,UPI,Paid,572
323,323,2026-03-27,Card,Paid,152
324,324,2025-07-11,UPI,Paid,158
325,325,2026-03-14,Cash,Failed,0
326,326,2025-12-09,UPI,Failed,0
327,327,2025-07-15,UPI,Pending,181
328,328,2025-09-14,UPI,Paid,551
329,329,2026-01-29,UPI,Paid,161
330,330,2025-05-10,UPI,Paid,672
331,331,2025-09-19,UPI,Paid,1025
332,332,2025-10-08,Card,Paid,949
333,333,2026-01-16,Card,Paid,370
334,334,2025-11-21,UPI,Failed,0
335,335,2026-01-17,UPI,Paid,360
336,336,2026-03-04,Card,Paid,263
337,337,2025-09-29,UPI,Pending,440
338,338,2025-10-15,UPI,Paid,449
339,339,2025-11-20,UPI,Paid,1142
340,340,2025-07-03,Card,Paid,384
