document_id,application_id,document_type,uploaded_date,verification_status
DOC00001,APP00001,Passport,2025-07-12,Verified
DOC00002,APP00001,Photograph,2025-10-21,Pending
DOC00003,APP00001,Offer Letter,2024-05-03,Pending
DOC00004,APP00001,Salary Slip,2022-09-15,Rejected
DOC00005,APP00002,Passport,2024-05-30,Verified
DOC00006,APP00002,Photograph,2023-05-26,Verified
DOC00007,APP00002,Cover Letter,2024-06-24,Pending
DOC00008,APP00002,Bank Statement,2024-09-18,Pending
DOC00009,APP00002,Invitation Letter,2023-10-17,Rejected
DOC00010,APP00002,Offer Letter,2025-02-25,Verified
DOC00011,APP00003,Passport,2024-02-24,Verified
DOC00012,APP00003,Photograph,2022-12-26,Pending
DOC00013,APP00003,Travel Itinerary,2024-09-04,Rejected
DOC00014,APP00004,Passport,2025-10-08,Verified
DOC00015,APP00004,Photograph,2025-05-01,Rejected
DOC00016,APP00004,Offer Letter,2025-04-22,Rejected
DOC00017,APP00004,Cover Letter,2022-07-03,Pending
DOC00018,APP00004,Bank Statement,2023-09-10,Rejected
DOC00019,APP00005,Passport,2025-11-19,Verified
DOC00020,APP00005,Photograph,2024-08-07,Pending
DOC00021,APP00005,Travel Itinerary,2022-04-04,Verified
DOC00022,APP00005,Invitation Letter,2023-11-25,Pending
DOC00023,APP00006,Passport,2024-02-11,Verified
DOC00024,APP00006,Photograph,2025-09-06,Pending
DOC00025,APP00006,Travel Itinerary,2023-10-04,Verified
DOC00026,APP00007,Passport,2024-10-18,Verified
DOC00027,APP00007,Photograph,2023-01-18,Pending
DOC00028,APP00007,Travel Itinerary,2022-11-19,Verified
DOC00029,APP00007,Cover Letter,2023-10-25,Rejected
DOC00030,APP00007,Salary Slip,2023-09-14,Verified
DOC00031,APP00008,Passport,2025-01-03,Verified
DOC00032,APP00008,Photograph,2024-01-01,Verified
DOC00033,APP00008,Bank Statement,2023-06-13,Rejected
DOC00034,APP00008,Salary Slip,2024-11-01,Verified
DOC00035,APP00008,Travel Itinerary,2025-03-02,Rejected
DOC00036,APP00008,Cover Letter,2023-02-21,Rejected
DOC00037,APP00009,Passport,2024-05-11,Verified
DOC00038,APP00009,Photograph,2025-07-14,Rejected
DOC00039,APP00009,Salary Slip,2025-08-18,Pending
DOC00040,APP00009,Cover Letter,2023-06-20,Verified
DOC00041,APP00009,Travel Itinerary,2023-08-16,Verified
DOC00042,APP00010,Passport,2022-05-22,Pending
DOC00043,APP00010,Photograph,2024-08-15,Rejected
DOC00044,APP00010,Invitation Letter,2024-01-14,Verified
DOC00045,APP00011,Passport,2023-06-14,Verified
DOC00046,APP00011,Photograph,2023-08-25,Verified
DOC00047,APP00011,Invitation Letter,2025-07-04,Verified
DOC00048,APP00011,Salary Slip,2024-01-09,Pending
DOC00049,APP00011,Offer Letter,2023-03-05,Verified
DOC00050,APP00012,Passport,2022-01-27,Verified
DOC00051,APP00012,Photograph,2025-04-13,Pending
DOC00052,APP00012,Invitation Letter,2022-07-29,Verified
DOC00053,APP00012,Travel Itinerary,2022-08-10,Pending
DOC00054,APP00013,Passport,2024-12-31,Verified
DOC00055,APP00013,Photograph,2025-11-12,Rejected
DOC00056,APP00013,Travel Itinerary,2025-11-13,Verified
DOC00057,APP00013,Offer Letter,2022-07-03,Rejected
DOC00058,APP00014,Passport,2025-08-28,Verified
DOC00059,APP00014,Photograph,2025-09-02,Rejected
DOC00060,APP00014,Salary Slip,2022-06-21,Rejected
