payment_id,application_id,amount,payment_date,payment_method,payment_status
PAY00001,APP00001,15000,2023-07-07,NetBanking,Success
PAY00002,APP00001,20000,2025-11-08,Cash,Success
PAY00003,APP00001,15000,2024-07-03,NetBanking,Success
PAY00004,APP00002,10000,2025-09-20,Debit Card,Failed
PAY00005,APP00002,7000,2022-02-24,Wallet,Success
PAY00006,APP00002,7000,2024-05-14,Cheque,Success
PAY00007,APP00003,5000,2025-06-22,Card,Success
PAY00008,APP00003,7000,2023-10-05,NetBanking,Success
PAY00009,APP00004,3000,2023-07-11,Card,Pending
PAY00010,APP00005,7000,2023-11-23,NetBanking,Failed
PAY00011,APP00005,20000,2022-08-13,Wallet,Success
PAY00012,APP00006,15000,2022-06-07,Cheque,Success
PAY00013,APP00006,7000,2023-11-27,Wallet,Success
PAY00014,APP00007,5000,2023-07-05,NetBanking,Success
PAY00015,APP00008,15000,2022-05-30,Card,Success
PAY00016,APP00008,10000,2024-09-16,Debit Card,Success
PAY00017,APP00008,10000,2023-07-02,Card,Success
PAY00018,APP00009,7000,2022-07-31,UPI,Success
PAY00019,APP00010,10000,2025-02-15,Cash,Success
PAY00020,APP00011,20000,2024-04-03,Credit Card,Success
PAY00021,APP00011,20000,2023-06-25,Card,Success
PAY00022,APP00012,7000,2025-03-13,Cheque,Failed
PAY00023,APP00012,15000,2024-03-09,NetBanking,Success
PAY00024,APP00012,7000,2022-10-08,Wallet,Success
PAY00025,APP00013,7000,2022-03-18,Cheque,Success
PAY00026,APP00013,7000,2022-02-04,Credit Card,Success
PAY00027,APP00014,7000,2023-05-22,NetBanking,Success
PAY00028,APP00014,3000,2023-03-11,NetBanking,Success
PAY00029,APP00014,20000,2024-10-28,Wallet,Success
PAY00030,APP00015,7000,2022-09-08,Cheque,Success
PAY00031,APP00015,5000,2022-06-21,Cash,Success
PAY00032,APP00015,20000,2025-08-02,Cash,Success
PAY00033,APP00016,5000,2024-11-09,NetBanking,Success
PAY00034,APP00016,7000,2025-07-23,Cash,Success
PAY00035,APP00016,7000,2023-03-24,Debit Card,Success
PAY00036,APP00017,20000,2022-10-19,Wallet,Success
PAY00037,APP00018,3000,2024-11-07,Debit Card,Success
PAY00038,APP00018,20000,2024-11-24,NetBanking,Success
PAY00039,APP00019,3000,2025-02-17,NetBanking,Success
PAY00040,APP00019,20000,2022-03-15,UPI,Success
PAY00041,APP00020,5000,2022-08-26,UPI,Pending
PAY00042,APP00020,7000,2022-04-13,Wallet,Success
PAY00043,APP00020,10000,2023-12-11,Debit Card,Success
PAY00044,APP00021,15000,2023-02-05,Cash,Failed
PAY00045,APP00021,5000,2022-02-09,Card,Success
PAY00046,APP00022,10000,2023-04-29,Cash,Failed
PAY00047,APP00022,3000,2022-06-05,Cheque,Success
PAY00048,APP00023,10000,2024-06-23,Credit Card,Success
PAY00049,APP00024,20000,2022-05-10,Wallet,Success
PAY00050,APP00024,20000,2024-08-21,Debit Card,Success
PAY00051,APP00025,5000,2022-08-20,Credit Card,Success
PAY00052,APP00025,15000,2025-06-01,Wallet,Success
PAY00053,APP00025,3000,2023-07-09,Cheque,Success
PAY00054,APP00026,3000,2022-05-14,NetBanking,Success
PAY00055,APP00027,5000,2023-06-10,UPI,Success
PAY00056,APP00027,5000,2024-05-25,UPI,Success
PAY00057,APP00028,5000,2022-12-15,NetBanking,Failed
PAY00058,APP00028,20000,2023-08-24,Debit Card,Success
PAY00059,APP00028,7000,2024-07-10,Card,Success
PAY00060,APP00029,10000,2023-04-29,UPI,Success
PAY00061,APP00029,20000,2025-01-28,Debit Card,Failed
PAY00062,APP00029,20000,2025-03-31,UPI,Success
PAY00063,APP00030,20000,2023-10-18,Cheque,Success
PAY00064,APP00031,20000,2024-03-06,Wallet,Failed
PAY00065,APP00032,15000,2025-09-04,Card,Success
PAY00066,APP00033,7000,2022-06-21,Wallet,Success
PAY00067,APP00033,5000,2022-12-31,Credit Card,Success
PAY00068,APP00034,15000,2024-02-23,Cash,Failed
PAY00069,APP00034,5000,2022-07-15,NetBanking,Success
PAY00070,APP00034,20000,2022-12-20,Cheque,Success
PAY00071,APP00035,20000,2023-10-03,Cheque,Success
PAY00072,APP00036,5000,2024-06-06,UPI,Success
PAY00073,APP00036,7000,2023-04-25,Card,Success
PAY00074,APP00036,3000,2025-05-15,Cheque,Success
PAY00075,APP00037,5000,2023-03-06,NetBanking,Failed
PAY00076,APP00038,3000,2024-05-16,Debit Card,Success
PAY00077,APP00038,7000,2022-11-04,Debit Card,Success
PAY00078,APP00039,15000,2022-07-07,Card,Failed
PAY00079,APP00039,10000,2024-10-31,Debit Card,Success
PAY00080,APP00040,5000,2025-07-30,Wallet,Failed
PAY00081,APP00040,10000,2023-09-13,NetBanking,Success
PAY00082,APP00040,7000,2024-08-26,Credit Card,Success
PAY00083,APP00041,5000,2023-11-18,Cash,Success
PAY00084,APP00041,3000,2024-06-24,NetBanking,Success
PAY00085,APP00042,3000,2022-05-14,UPI,Failed
PAY00086,APP00042,10000,2025-03-08,Cheque,Success
PAY00087,APP00043,20000,2025-11-29,UPI,Success
PAY00088,APP00043,7000,2023-03-13,NetBanking,Success
PAY00089,APP00044,15000,2022-05-29,Debit Card,Failed
PAY00090,APP00044,10000,2022-10-07,UPI,Success
PAY00091,APP00045,20000,2025-02-05,NetBanking,Success
PAY00092,APP00046,10000,2024-03-15,UPI,Failed
PAY00093,APP00046,7000,2025-11-13,Cash,Success
PAY00094,APP00047,15000,2024-08-30,Cash,Success
PAY00095,APP00047,7000,2025-05-22,Card,Failed
PAY00096,APP00047,15000,2025-08-08,UPI,Success
PAY00097,APP00048,15000,2024-08-16,Cheque,Success
PAY00098,APP00048,10000,2023-08-16,Debit Card,Failed
PAY00099,APP00048,10000,2023-06-29,Cheque,Failed
PAY00100,APP00049,10000,2022-10-06,Debit Card,Success
PAY00101,APP00049,5000,2025-05-11,Card,Success
PAY00102,APP00050,5000,2022-06-29,Cash,Success
PAY00103,APP00051,7000,2023-08-24,Card,Pending
PAY00104,APP00052,3000,2023-01-29,UPI,Pending
PAY00105,APP00052,20000,2023-05-21,Wallet,Success
PAY00106,APP00052,3000,2025-09-29,Cheque,Success
PAY00107,APP00053,20000,2023-06-29,Wallet,Success
PAY00108,APP00054,20000,2023-10-26,NetBanking,Failed
PAY00109,APP00054,5000,2025-03-28,Wallet,Success
PAY00110,APP00054,15000,2024-09-14,Credit Card,Success
PAY00111,APP00055,10000,2024-07-23,Card,Success
PAY00112,APP00055,7000,2022-06-17,Wallet,Success
PAY00113,APP00056,10000,2024-11-19,Debit Card,Failed
PAY00114,APP00057,3000,2024-09-09,Credit Card,Failed
PAY00115,APP00057,10000,2024-07-20,Cash,Success
PAY00116,APP00058,7000,2025-02-23,NetBanking,Success
PAY00117,APP00058,3000,2022-05-05,Wallet,Success
PAY00118,APP00059,7000,2022-06-18,NetBanking,Success
PAY00119,APP00059,20000,2023-07-30,Cash,Success
PAY00120,APP00060,20000,2025-09-07,Cheque,Success
PAY00121,APP00061,20000,2022-01-17,Wallet,Success
PAY00122,APP00062,3000,2023-11-05,NetBanking,Failed
PAY00123,APP00062,20000,2023-10-26,Cash,Success
PAY00124,APP00062,3000,2024-08-03,UPI,Success
PAY00125,APP00063,7000,2022-03-23,NetBanking,Pending
PAY00126,APP00064,3000,2024-07-09,Card,Pending
PAY00127,APP00064,7000,2024-08-01,NetBanking,Success
PAY00128,APP00065,15000,2025-08-24,NetBanking,Failed
PAY00129,APP00066,3000,2023-04-04,Debit Card,Failed
PAY00130,APP00066,20000,2023-05-22,Cheque,Failed
PAY00131,APP00067,10000,2024-09-05,Debit Card,Success
PAY00132,APP00067,7000,2022-10-20,Credit Card,Success
PAY00133,APP00067,5000,2022-05-23,Wallet,Success
PAY00134,APP00068,7000,2024-09-13,UPI,Success
PAY00135,APP00068,15000,2024-01-31,Cash,Failed
PAY00136,APP00069,7000,2022-07-01,Cheque,Success
PAY00137,APP00069,3000,2025-08-17,Card,Success
PAY00138,APP00070,15000,2024-03-23,Cash,Success
PAY00139,APP00071,5000,2023-05-28,Cheque,Success
PAY00140,APP00071,15000,2024-07-02,Credit Card,Success
PAY00141,APP00071,5000,2024-11-29,NetBanking,Success
PAY00142,APP00072,7000,2025-05-21,Cheque,Success
PAY00143,APP00072,7000,2023-03-17,Cheque,Success
PAY00144,APP00073,15000,2023-06-04,Cheque,Success
PAY00145,APP00073,5000,2023-06-19,Debit Card,Success
PAY00146,APP00074,7000,2023-11-18,Card,Success
PAY00147,APP00074,20000,2025-05-08,Cash,Success
PAY00148,APP00075,10000,2025-04-23,Wallet,Success
PAY00149,APP00076,3000,2023-12-29,Cash,Failed
PAY00150,APP00077,5000,2025-11-11,Credit Card,Success
PAY00151,APP00078,3000,2024-04-17,UPI,Success
PAY00152,APP00079,5000,2023-05-12,Cheque,Success
PAY00153,APP00079,20000,2023-09-20,UPI,Success
PAY00154,APP00080,7000,2022-02-23,NetBanking,Success
PAY00155,APP00080,3000,2025-12-11,NetBanking,Success
PAY00156,APP00081,5000,2024-09-04,Cheque,Failed
PAY00157,APP00082,3000,2024-03-19,UPI,Pending
PAY00158,APP00083,7000,2022-04-02,NetBanking,Failed
PAY00159,APP00084,10000,2022-10-19,Wallet,Success
PAY00160,APP00085,3000,2024-08-08,Debit Card,Success
PAY00161,APP00085,5000,2023-01-18,Card,Success
PAY00162,APP00085,20000,2022-03-30,Wallet,Success
PAY00163,APP00086,20000,2024-05-29,Card,Success
PAY00164,APP00086,3000,2023-10-26,NetBanking,Success
PAY00165,APP00086,7000,2023-04-01,UPI,Failed
PAY00166,APP00087,10000,2024-09-14,NetBanking,Failed
PAY00167,APP00087,15000,2023-02-05,UPI,Failed
PAY00168,APP00087,20000,2024-03-08,Cheque,Success
PAY00169,APP00088,7000,2024-12-04,Credit Card,Success
PAY00170,APP00088,5000,2023-07-12,Card,Success
PAY00171,APP00089,3000,2023-11-12,Card,Failed
PAY00172,APP00090,7000,2025-07-28,Wallet,Success
PAY00173,APP00090,15000,2022-09-15,NetBanking,Success
PAY00174,APP00090,5000,2022-08-17,Debit Card,Success
PAY00175,APP00091,10000,2022-11-29,Wallet,Success
PAY00176,APP00091,7000,2023-06-12,Debit Card,Success
PAY00177,APP00091,15000,2023-10-14,Wallet,Success
PAY00178,APP00092,7000,2024-02-20,Cheque,Failed
PAY00179,APP00093,20000,2023-08-14,Credit Card,Success
PAY00180,APP00093,3000,2023-05-19,Wallet,Success
PAY00181,APP00094,10000,2022-05-17,Cheque,Pending
PAY00182,APP00094,5000,2022-12-07,Debit Card,Success
PAY00183,APP00094,10000,2024-11-21,NetBanking,Success
PAY00184,APP00095,20000,2023-04-09,Cheque,Success
PAY00185,APP00095,10000,2022-08-21,NetBanking,Success
PAY00186,APP00095,15000,2023-05-03,Credit Card,Failed
PAY00187,APP00096,15000,2025-08-10,Cash,Success
