status_id,application_id,status,updated_at
ST00001,APP00001,Submitted,2024-02-27
ST00002,APP00001,Under Review,2024-03-03
ST00003,APP00001,Embassy Review,2024-03-09
ST00004,APP00001,Approved,2024-03-17
ST00005,APP00002,Submitted,2022-08-22
ST00006,APP00002,Under Review,2022-08-25
ST00007,APP00002,Embassy Review,2022-09-01
ST00008,APP00002,Rejected,2022-09-11
ST00009,APP00003,Submitted,2022-01-20
ST00010,APP00003,Under Review,2022-01-26
ST00011,APP00003,Embassy Review,2022-02-02
ST00012,APP00003,Rejected,2022-02-05
ST00013,APP00004,Submitted,2022-09-17
ST00014,APP00004,Under Review,2022-09-20
ST00015,APP00004,Embassy Review,2022-09-22
ST00016,APP00004,Approved,2022-09-26
ST00017,APP00005,Submitted,2025-03-15
ST00018,APP00005,Under Review,2025-03-18
ST00019,APP00005,Embassy Review,2025-03-25
ST00020,APP00005,Approved,2025-04-02
ST00021,APP00006,Submitted,2025-09-18
ST00022,APP00006,Under Review,2025-09-20
ST00023,APP00006,Embassy Review,2025-09-24
ST00024,APP00006,Rejected,2025-10-02
ST00025,APP00007,Submitted,2024-06-11
ST00026,APP00007,Under Review,2024-06-17
ST00027,APP00007,Embassy Review,2024-06-22
ST00028,APP00007,Rejected,2024-06-26
ST00029,APP00008,Submitted,2025-06-05
ST00030,APP00008,Under Review,2025-06-10
ST00031,APP00008,Embassy Review,2025-06-15
ST00032,APP00008,Rejected,2025-06-21
ST00033,APP00009,Submitted,2025-12-25
ST00034,APP00009,Under Review,2025-12-28
ST00035,APP00009,Embassy Review,2025-12-30
ST00036,APP00009,Approved,2026-01-02
ST00037,APP00010,Submitted,2025-03-14
ST00038,APP00010,Under Review,2025-03-20
ST00039,APP00010,Embassy Review,2025-03-25
ST00040,APP00010,Rejected,2025-04-02
ST00041,APP00011,Submitted,2023-10-19
ST00042,APP00011,Under Review,2023-10-26
ST00043,APP00011,Embassy Review,2023-11-01
ST00044,APP00011,Approved,2023-11-08
ST00045,APP00012,Submitted,2024-07-13
ST00046,APP00012,Under Review,2024-07-15
ST00047,APP00012,Embassy Review,2024-07-18
ST00048,APP00012,Approved,2024-07-25
ST00049,APP00013,Submitted,2025-12-29
ST00050,APP00013,Under Review,2026-01-01
ST00051,APP00013,Embassy Review,2026-01-06
ST00052,APP00013,Rejected,2026-01-16
ST00053,APP00014,Submitted,2023-06-22
ST00054,APP00014,Under Review,2023-06-24
ST00055,APP00014,Embassy Review,2023-06-30
ST00056,APP00014,Rejected,2023-07-06
ST00057,APP00015,Submitted,2024-11-10
ST00058,APP00015,Under Review,2024-11-14
ST00059,APP00015,Embassy Review,2024-11-17
ST00060,APP00015,Rejected,2024-11-20
ST00061,APP00016,Submitted,2023-10-12
ST00062,APP00016,Under Review,2023-10-16
ST00063,APP00016,Embassy Review,2023-10-21
ST00064,APP00016,Rejected,2023-10-24
ST00065,APP00017,Submitted,2022-02-10
ST00066,APP00017,Under Review,2022-02-12
ST00067,APP00017,Embassy Review,2022-02-19
ST00068,APP00017,Approved,2022-02-24
ST00069,APP00018,Submitted,2025-09-08
ST00070,APP00018,Under Review,2025-09-14
ST00071,APP00018,Embassy Review,2025-09-20
ST00072,APP00018,Rejected,2025-09-25
ST00073,APP00019,Submitted,2023-07-30
ST00074,APP00019,Under Review,2023-08-02
ST00075,APP00019,Embassy Review,2023-08-09
ST00076,APP00019,Rejected,2023-08-16
ST00077,APP00020,Submitted,2025-04-09
ST00078,APP00020,Under Review,2025-04-13
ST00079,APP00020,Embassy Review,2025-04-20
ST00080,APP00020,Rejected,2025-04-28
ST00081,APP00021,Submitted,2022-09-03
ST00082,APP00021,Under Review,2022-09-07
ST00083,APP00021,Embassy Review,2022-09-14
