application_id,applicant_id,visa_type,destination_country,application_date,travel_date,duration_days,application_status
APP00001,A0001,Transit,UAE,2024-02-27,2024-03-13,1,Approved
APP00002,A0001,Student,Netherlands,2022-08-22,2022-09-21,578,Approved
APP00003,A0001,Business,France,2022-01-20,2022-04-20,55,Approved
APP00004,A0002,Student,Switzerland,2022-09-17,2022-11-01,217,Pending
APP00005,A0002,Business,Germany,2025-03-15,2025-03-30,15,Rejected
APP00006,A0002,Work,France,2025-09-18,2025-11-17,104,Rejected
APP00007,A0003,Work,Netherlands,2024-06-11,2024-09-09,240,Approved
APP00008,A0003,Tourist,Canada,2025-06-05,2025-07-20,5,Approved
APP00009,A0003,Transit,Belgium,2025-12-25,2026-02-08,5,Rejected
APP00010,A0004,Transit,Netherlands,2025-03-14,2025-05-13,4,Rejected
APP00011,A0005,Transit,UAE,2023-10-19,2023-12-03,4,Rejected
APP00012,A0006,Business,South Korea,2024-07-13,2024-10-11,31,Rejected
APP00013,A0006,Tourist,South Korea,2025-12-29,2026-01-13,13,Approved
APP00014,A0006,Business,Sweden,2023-06-22,2023-07-22,16,Pending
APP00015,A0007,Transit,Denmark,2024-11-10,2024-12-10,5,Approved
APP00016,A0007,Student,UK,2023-10-12,2023-11-11,550,Approved
APP00017,A0007,Transit,Singapore,2022-02-10,2022-03-12,1,Rejected
APP00018,A0008,Tourist,Japan,2025-09-08,2025-11-07,5,Approved
APP00019,A0008,Business,Australia,2023-07-30,2023-09-13,21,Approved
APP00020,A0008,Work,Netherlands,2025-04-09,2025-07-08,291,Rejected
APP00021,A0008,Tourist,South Korea,2022-09-03,2022-11-02,5,Rejected
APP00022,A0009,Transit,Germany,2022-09-03,2022-11-02,1,Pending
APP00023,A0010,Tourist,Australia,2025-08-02,2025-10-01,11,Pending
APP00024,A0011,Work,UK,2022-12-01,2023-01-30,125,Rejected
APP00025,A0011,Transit,USA,2022-05-15,2022-07-14,5,Approved
APP00026,A0011,Student,Austria,2023-01-20,2023-03-06,592,Approved
