product_id,stock_in,stock_out,current_stock,warehouse_location,last_updated
PROD00001,110,13,97,Hyderabad Warehouse,2024-02-22
PROD00002,380,84,296,Ahmedabad Warehouse,2024-10-07
PROD00003,341,227,114,Hyderabad Warehouse,2023-11-05
PROD00004,458,298,160,Mumbai Warehouse,2023-04-29
PROD00005,475,420,55,Delhi Warehouse,2024-05-21
PROD00006,443,315,128,Delhi Warehouse,2025-07-25
PROD00007,128,51,77,Delhi Warehouse,2024-05-20
PROD00008,325,86,239,Hyderabad Warehouse,2023-06-22
PROD00009,375,71,304,Ahmedabad Warehouse,2023-10-13
PROD00010,397,287,110,Delhi Warehouse,2024-02-08
PROD00011,79,67,12,Delhi Warehouse,2024-11-08
PROD00012,61,1,60,Hyderabad Warehouse,2025-08-22
PROD00013,312,26,286,Delhi Warehouse,2024-10-15
PROD00014,477,140,337,Bangalore Warehouse,2025-01-30
PROD00015,368,19,349,Hyderabad Warehouse,2025-04-09
PROD00016,290,42,248,Delhi Warehouse,2024-01-16
PROD00017,428,135,293,Ahmedabad Warehouse,2023-08-25
PROD00018,401,346,55,Ahmedabad Warehouse,2024-04-25
PROD00019,145,51,94,Hyderabad Warehouse,2025-01-29
PROD00020,442,269,173,Ahmedabad Warehouse,2023-05-20
PROD00021,350,341,9,Mumbai Warehouse,2025-02-09
PROD00022,183,134,49,Mumbai Warehouse,2024-04-19
PROD00023,249,3,246,Mumbai Warehouse,2023-11-17
PROD00024,178,177,1,Bangalore Warehouse,2024-05-12
PROD00025,109,36,73,Delhi Warehouse,2025-12-27
PROD00026,297,102,195,Ahmedabad Warehouse,2023-07-22
PROD00027,351,42,309,Ahmedabad Warehouse,2025-08-31
PROD00028,254,204,50,Ahmedabad Warehouse,2024-09-18
PROD00029,321,302,19,Delhi Warehouse,2024-07-03
PROD00030,124,47,77,Delhi Warehouse,2025-02-09
PROD00031,196,84,112,Delhi Warehouse,2025-04-06
PROD00032,59,22,37,Hyderabad Warehouse,2023-01-09
PROD00033,106,35,71,Delhi Warehouse,2025-06-05
PROD00034,392,307,85,Hyderabad Warehouse,2024-04-13
PROD00035,473,351,122,Delhi Warehouse,2025-06-25
PROD00036,483,334,149,Mumbai Warehouse,2024-09-15
PROD00037,141,60,81,Bangalore Warehouse,2025-05-26
PROD00038,319,137,182,Ahmedabad Warehouse,2024-10-02
PROD00039,121,91,30,Delhi Warehouse,2024-07-13
PROD00040,143,57,86,Delhi Warehouse,2024-09-26
PROD00041,441,351,90,Ahmedabad Warehouse,2025-11-24
PROD00042,366,62,304,Mumbai Warehouse,2025-12-19
PROD00043,487,379,108,Delhi Warehouse,2025-10-20
PROD00044,392,149,243,Hyderabad Warehouse,2025-06-04
PROD00045,282,201,81,Delhi Warehouse,2024-04-18
PROD00046,243,125,118,Mumbai Warehouse,2023-04-15
