order_item_id,order_id,product_id,quantity,selling_price,total_price
ITEM000001,ORD00001,PROD04206,1,1931,1931
ITEM000002,ORD00001,PROD04439,1,1728,1728
ITEM000003,ORD00001,PROD03133,1,438,438
ITEM000004,ORD00001,PROD02225,3,1761,5283
ITEM000005,ORD00002,PROD02865,1,2486,2486
ITEM000006,ORD00002,PROD00683,2,1549,3098
ITEM000007,ORD00002,PROD03989,2,2754,5508
ITEM000008,ORD00002,PROD04514,2,1113,2226
ITEM000009,ORD00003,PROD00944,1,564,564
ITEM000010,ORD00003,PROD00836,3,1348,4044
ITEM000011,ORD00003,PROD03118,2,1180,2360
ITEM000012,ORD00004,PROD00973,2,1802,3604
ITEM000013,ORD00004,PROD00385,2,1449,2898
ITEM000014,ORD00004,PROD02289,3,1531,4593
ITEM000015,ORD00004,PROD04481,3,2205,6615
ITEM000016,ORD00005,PROD03088,1,1074,1074
ITEM000017,ORD00005,PROD01879,2,2053,4106
ITEM000018,ORD00005,PROD02215,1,2060,2060
ITEM000019,ORD00005,PROD04260,2,1497,2994
ITEM000020,ORD00006,PROD02651,1,1730,1730
ITEM000021,ORD00006,PROD02949,3,1012,3036
ITEM000022,ORD00006,PROD04055,3,1012,3036
ITEM000023,ORD00006,PROD00965,1,1848,1848
ITEM000024,ORD00007,PROD00338,2,924,1848
ITEM000025,ORD00007,PROD04974,1,2504,2504
ITEM000026,ORD00008,PROD02718,2,1724,3448
ITEM000027,ORD00009,PROD00996,1,862,862
ITEM000028,ORD00009,PROD01005,2,519,1038
ITEM000029,ORD00009,PROD03070,2,1402,2804
ITEM000030,ORD00009,PROD01294,1,1675,1675
ITEM000031,ORD00010,PROD04084,2,638,1276
ITEM000032,ORD00010,PROD02362,2,1291,2582
ITEM000033,ORD00010,PROD02577,3,625,1875
ITEM000034,ORD00010,PROD02879,1,2632,2632
ITEM000035,ORD00011,PROD01229,2,899,1798
ITEM000036,ORD00011,PROD04313,2,978,1956
ITEM000037,ORD00012,PROD01819,3,970,2910
ITEM000038,ORD00012,PROD00227,1,2764,2764
ITEM000039,ORD00012,PROD00280,2,1149,2298
ITEM000040,ORD00012,PROD00655,1,2299,2299
ITEM000041,ORD00013,PROD02429,1,2702,2702
ITEM000042,ORD00013,PROD01824,2,2339,4678
ITEM000043,ORD00013,PROD03311,1,1070,1070
ITEM000044,ORD00014,PROD01329,2,2491,4982
ITEM000045,ORD00014,PROD04289,2,2464,4928
ITEM000046,ORD00015,PROD04989,3,1202,3606
ITEM000047,ORD00015,PROD04348,2,469,938
ITEM000048,ORD00016,PROD01673,1,601,601
ITEM000049,ORD00016,PROD03726,3,1809,5427
ITEM000050,ORD00016,PROD01658,1,1661,1661
ITEM000051,ORD00016,PROD04003,3,1093,3279
ITEM000052,ORD00017,PROD00524,1,2671,2671
ITEM000053,ORD00017,PROD03131,3,1687,5061
ITEM000054,ORD00018,PROD03074,1,1719,1719
ITEM000055,ORD00019,PROD02857,1,2351,2351
ITEM000056,ORD00019,PROD03723,1,807,807
ITEM000057,ORD00020,PROD00957,1,1431,1431
ITEM000058,ORD00020,PROD01762,1,2563,2563
ITEM000059,ORD00020,PROD00653,1,1320,1320
ITEM000060,ORD00021,PROD03318,1,2017,2017
ITEM000061,ORD00022,PROD02737,1,594,594
ITEM000062,ORD00023,PROD00177,2,2839,5678
ITEM000063,ORD00023,PROD00450,3,1387,4161
ITEM000064,ORD00024,PROD02487,2,1046,2092
ITEM000065,ORD00025,PROD01809,1,730,730
ITEM000066,ORD00025,PROD03913,2,1368,2736
ITEM000067,ORD00025,PROD01632,3,2835,8505
ITEM000068,ORD00025,PROD03097,1,557,557
ITEM000069,ORD00026,PROD04458,3,463,1389
ITEM000070,ORD00026,PROD03081,3,2064,6192
ITEM000071,ORD00026,PROD04269,2,2687,5374
ITEM000072,ORD00027,PROD02822,1,3003,3003
ITEM000073,ORD00027,PROD00283,3,1563,4689
