order_id,customer_id,order_date,order_status,payment_mode,total_amount
ORD00001,CUST00001,2021-01-07,Returned,Card,2419
ORD00002,CUST00001,2024-09-27,Placed,UPI,1827
ORD00003,CUST00002,2021-10-01,Delivered,UPI,3543
ORD00004,CUST00002,2021-06-04,Placed,Card,2897
ORD00005,CUST00002,2022-01-02,Delivered,Card,3785
ORD00006,CUST00002,2025-04-18,Delivered,COD,4461
ORD00007,CUST00003,2025-03-04,Returned,Card,4350
ORD00008,CUST00003,2025-09-26,Delivered,UPI,2472
ORD00009,CUST00003,2022-05-17,Delivered,COD,4235
ORD00010,CUST00003,2023-06-12,Delivered,COD,4463
ORD00011,CUST00003,2024-05-08,Delivered,Card,2648
ORD00012,CUST00004,2024-06-27,Delivered,Card,3031
ORD00013,CUST00004,2025-05-10,Placed,Card,4621
ORD00014,CUST00004,2023-08-12,Placed,Card,2512
ORD00015,CUST00004,2022-08-23,Delivered,COD,4249
ORD00016,CUST00005,2023-12-01,Returned,Card,1816
ORD00017,CUST00005,2025-01-08,Delivered,UPI,1310
ORD00018,CUST00005,2021-08-20,Shipped,UPI,2608
ORD00019,CUST00005,2025-11-05,Shipped,UPI,837
ORD00020,CUST00006,2022-02-03,Delivered,UPI,3195
ORD00021,CUST00006,2022-06-01,Cancelled,Card,1598
ORD00022,CUST00007,2025-05-30,Returned,COD,1791
ORD00023,CUST00007,2022-08-12,Delivered,UPI,4893
ORD00024,CUST00007,2023-05-06,Cancelled,Card,3540
ORD00025,CUST00008,2025-09-10,Delivered,Card,1972
ORD00026,CUST00008,2025-05-16,Delivered,UPI,3063
ORD00027,CUST00008,2021-12-08,Delivered,UPI,4883
ORD00028,CUST00008,2021-06-24,Delivered,UPI,2391
ORD00029,CUST00008,2025-03-27,Delivered,UPI,819
ORD00030,CUST00009,2021-05-19,Delivered,COD,4789
ORD00031,CUST00009,2022-09-03,Delivered,Card,3331
ORD00032,CUST00009,2024-10-06,Shipped,COD,3071
ORD00033,CUST00009,2025-07-14,Returned,UPI,3371
ORD00034,CUST00010,2022-01-01,Delivered,UPI,1259
ORD00035,CUST00010,2025-06-08,Delivered,Card,2251
ORD00036,CUST00011,2024-07-01,Shipped,UPI,4640
ORD00037,CUST00011,2024-03-07,Delivered,COD,3077
ORD00038,CUST00011,2022-05-09,Cancelled,UPI,3953
ORD00039,CUST00011,2022-03-03,Delivered,UPI,4919
ORD00040,CUST00012,2023-06-07,Delivered,UPI,4899
ORD00041,CUST00012,2023-06-09,Shipped,Card,4604
ORD00042,CUST00012,2022-10-28,Shipped,Card,3065
ORD00043,CUST00012,2023-01-12,Shipped,COD,2135
ORD00044,CUST00012,2022-01-23,Cancelled,UPI,2642
ORD00045,CUST00013,2025-11-28,Delivered,UPI,4342
ORD00046,CUST00013,2022-04-28,Delivered,Card,3104
ORD00047,CUST00013,2024-01-29,Shipped,Card,1767
ORD00048,CUST00014,2022-11-06,Delivered,UPI,1710
ORD00049,CUST00014,2021-11-27,Delivered,UPI,1661
ORD00050,CUST00014,2023-09-30,Cancelled,UPI,3471
ORD00051,CUST00014,2023-10-16,Delivered,UPI,723
ORD00052,CUST00015,2025-08-15,Delivered,UPI,2638
ORD00053,CUST00015,2023-01-14,Shipped,UPI,3462
ORD00054,CUST00015,2025-12-05,Delivered,Card,2125
ORD00055,CUST00016,2022-02-18,Returned,Card,2249
ORD00056,CUST00016,2025-07-07,Shipped,UPI,4162
ORD00057,CUST00016,2021-04-22,Shipped,UPI,3889
ORD00058,CUST00017,2022-04-06,Cancelled,UPI,1153
ORD00059,CUST00017,2024-03-29,Delivered,Card,3604
ORD00060,CUST00018,2021-04-05,Delivered,UPI,2706
ORD00061,CUST00018,2021-12-15,Cancelled,UPI,686
ORD00062,CUST00018,2021-12-31,Delivered,UPI,3637
ORD00063,CUST00019,2023-12-30,Delivered,Card,3100
ORD00064,CUST00019,2023-06-05,Shipped,UPI,2856
ORD00065,CUST00019,2024-09-06,Delivered,UPI,3905
ORD00066,CUST00019,2022-01-01,Delivered,COD,4726
ORD00067,CUST00020,2022-04-25,Placed,UPI,3634
ORD00068,CUST00020,2022-11-17,Shipped,UPI,3414
ORD00069,CUST00020,2021-05-24,Returned,COD,3798
ORD00070,CUST00020,2023-06-09,Delivered,UPI,3078
ORD00071,CUST00020,2024-06-28,Placed,UPI,3707
ORD00072,CUST00021,2022-11-20,Delivered,Card,797
ORD00073,CUST00021,2023-10-14,Placed,Card,4042
ORD00074,CUST00021,2025-01-11,Shipped,Card,2636
ORD00075,CUST00021,2021-01-23,Returned,Card,3405
ORD00076,CUST00021,2021-11-25,Delivered,UPI,3197
ORD00077,CUST00022,2024-01-18,Delivered,Card,868
ORD00078,CUST00022,2021-10-03,Placed,UPI,844
ORD00079,CUST00022,2022-10-12,Cancelled,COD,2153
ORD00080,CUST00022,2021-09-26,Returned,UPI,4613
ORD00081,CUST00022,2025-05-30,Delivered,UPI,2835
ORD00082,CUST00023,2025-10-18,Delivered,COD,2792
ORD00083,CUST00023,2024-05-04,Shipped,UPI,3855
ORD00084,CUST00023,2022-08-29,Delivered,COD,1364
ORD00085,CUST00024,2025-04-08,Returned,UPI,2844
ORD00086,CUST00024,2022-06-22,Delivered,COD,4411
ORD00087,CUST00024,2021-01-26,Delivered,UPI,1608
ORD00088,CUST00024,2025-03-02,Delivered,COD,3046
ORD00089,CUST00025,2023-04-02,Returned,COD,2488
ORD00090,CUST00025,2023-11-18,Delivered,Card,2835
ORD00091,CUST00025,2025-07-27,Shipped,UPI,3935
ORD00092,CUST00025,2025-12-07,Delivered,UPI,1848
ORD00093,CUST00026,2024-08-26,Delivered,UPI,737
ORD00094,CUST00026,2022-09-24,Delivered,UPI,2516
ORD00095,CUST00026,2025-12-06,Shipped,UPI,1877
ORD00096,CUST00027,2025-03-08,Delivered,UPI,1864
ORD00097,CUST00027,2023-04-06,Delivered,COD,3267
ORD00098,CUST00027,2024-02-18,Delivered,UPI,4864
ORD00099,CUST00028,2023-05-09,Delivered,Card,2893
ORD00100,CUST00028,2023-02-14,Placed,COD,2020
ORD00101,CUST00028,2025-09-13,Delivered,Card,2151
ORD00102,CUST00029,2021-03-21,Returned,UPI,4793
ORD00103,CUST00029,2025-05-08,Placed,Card,2704
ORD00104,CUST00029,2025-11-14,Delivered,Card,3857
ORD00105,CUST00029,2025-03-21,Returned,UPI,1132
ORD00106,CUST00030,2022-02-12,Shipped,UPI,1911
ORD00107,CUST00030,2021-10-16,Delivered,Card,2420
ORD00108,CUST00030,2023-05-06,Placed,Card,1768
ORD00109,CUST00030,2022-08-13,Delivered,UPI,678
ORD00110,CUST00030,2021-01-05,Cancelled,COD,2792
ORD00111,CUST00031,2024-05-29,Delivered,UPI,2832
