payment_id,order_id,payment_date,payment_method,payment_status,amount
PAY000001,ORD00001,2021-01-09,UPI,Pending,2419
PAY000002,ORD00002,2024-10-01,UPI,Success,1827
PAY000003,ORD00002,2024-10-01,UPI,Success,1827
PAY000004,ORD00003,2021-10-01,UPI,Failed,3543
PAY000005,ORD00003,2021-10-01,UPI,Failed,3543
PAY000006,ORD00004,2021-06-05,UPI,Failed,2897
PAY000007,ORD00004,2021-06-09,UPI,Failed,2897
PAY000008,ORD00005,2022-01-06,COD,Success,3785
PAY000009,ORD00006,2025-04-22,UPI,Success,4461
PAY000010,ORD00006,2025-04-19,UPI,Success,4461
PAY000011,ORD00007,2025-03-07,COD,Success,4350
PAY000012,ORD00007,2025-03-06,COD,Failed,4350
PAY000013,ORD00008,2025-09-29,Card,Success,2472
PAY000014,ORD00009,2022-05-18,Card,Success,4235
PAY000015,ORD00009,2022-05-20,UPI,Success,4235
PAY000016,ORD00010,2023-06-16,UPI,Success,4463
PAY000017,ORD00011,2024-05-12,UPI,Success,2648
PAY000018,ORD00011,2024-05-13,UPI,Success,2648
PAY000019,ORD00012,2024-07-01,UPI,Success,3031
PAY000020,ORD00013,2025-05-14,COD,Success,4621
PAY000021,ORD00013,2025-05-13,UPI,Success,4621
PAY000022,ORD00014,2023-08-12,UPI,Success,2512
PAY000023,ORD00015,2022-08-23,UPI,Success,4249
PAY000024,ORD00015,2022-08-27,UPI,Success,4249
PAY000025,ORD00016,2023-12-03,UPI,Success,1816
PAY000026,ORD00017,2025-01-12,Card,Success,1310
PAY000027,ORD00017,2025-01-12,COD,Success,1310
PAY000028,ORD00018,2021-08-25,Card,Pending,2608
PAY000029,ORD00019,2025-11-06,COD,Failed,837
PAY000030,ORD00020,2022-02-03,UPI,Success,3195
PAY000031,ORD00021,2022-06-06,Card,Success,1598
PAY000032,ORD00022,2025-05-30,UPI,Pending,1791
PAY000033,ORD00023,2022-08-15,COD,Failed,4893
PAY000034,ORD00023,2022-08-13,Card,Success,4893
PAY000035,ORD00024,2023-05-06,UPI,Success,3540
PAY000036,ORD00025,2025-09-15,UPI,Success,1972
PAY000037,ORD00026,2025-05-17,Card,Success,3063
PAY000038,ORD00026,2025-05-21,UPI,Success,3063
PAY000039,ORD00027,2021-12-11,UPI,Success,4883
PAY000040,ORD00027,2021-12-08,COD,Success,4883
PAY000041,ORD00028,2021-06-28,UPI,Success,2391
PAY000042,ORD00029,2025-03-27,Card,Success,819
PAY000043,ORD00029,2025-03-28,Card,Failed,819
PAY000044,ORD00030,2021-05-22,COD,Success,4789
PAY000045,ORD00030,2021-05-22,Card,Success,4789
PAY000046,ORD00031,2022-09-06,UPI,Success,3331
PAY000047,ORD00032,2024-10-11,UPI,Success,3071
PAY000048,ORD00032,2024-10-10,Card,Success,3071
PAY000049,ORD00033,2025-07-15,COD,Success,3371
PAY000050,ORD00033,2025-07-15,COD,Success,3371
PAY000051,ORD00034,2022-01-05,UPI,Success,1259
PAY000052,ORD00034,2022-01-03,UPI,Success,1259
PAY000053,ORD00035,2025-06-09,COD,Success,2251
PAY000054,ORD00035,2025-06-08,Card,Success,2251
PAY000055,ORD00036,2024-07-04,UPI,Success,4640
PAY000056,ORD00036,2024-07-06,Card,Success,4640
PAY000057,ORD00037,2024-03-07,Card,Success,3077
PAY000058,ORD00038,2022-05-13,Card,Success,3953
PAY000059,ORD00039,2022-03-03,UPI,Success,4919
PAY000060,ORD00039,2022-03-06,UPI,Success,4919
PAY000061,ORD00040,2023-06-12,Card,Success,4899
PAY000062,ORD00040,2023-06-07,COD,Success,4899
