return_id,order_id,product_id,return_date,return_reason,refund_amount
RET000001,ORD00004,PROD00385,2025-09-30,Late Delivery,2246
RET000002,ORD00004,PROD04481,2024-05-30,Defective Product,6615
RET000003,ORD00005,PROD04260,2025-12-27,Defective Product,2994
RET000004,ORD00009,PROD01005,2025-01-30,Defective Product,1038
RET000005,ORD00017,PROD03131,2024-07-29,Defective Product,5061
RET000006,ORD00019,PROD03723,2025-08-24,Late Delivery,581
RET000007,ORD00025,PROD01632,2024-05-04,Changed Mind,7362
RET000008,ORD00028,PROD03057,2023-03-29,Quality Not Good,4934
RET000009,ORD00039,PROD02087,2022-05-02,Quality Not Good,2017
RET000010,ORD00040,PROD02969,2022-08-07,Size Issue,1087
RET000011,ORD00040,PROD02053,2022-06-18,Quality Not Good,1935
RET000012,ORD00041,PROD02156,2023-03-22,Defective Product,3030
RET000013,ORD00046,PROD04646,2025-07-24,Wrong Item Delivered,3255
RET000014,ORD00050,PROD01227,2023-04-25,Size Issue,679
RET000015,ORD00056,PROD03326,2025-09-21,Size Issue,406
RET000016,ORD00058,PROD04646,2024-11-20,Size Issue,1841
RET000017,ORD00062,PROD02329,2024-06-06,Quality Not Good,5623
RET000018,ORD00063,PROD03026,2022-12-03,Wrong Item Delivered,3574
RET000019,ORD00064,PROD04893,2023-05-03,Defective Product,2360
RET000020,ORD00068,PROD02399,2025-09-23,Wrong Item Delivered,1706
RET000021,ORD00072,PROD00723,2022-02-23,Size Issue,3704
RET000022,ORD00073,PROD02051,2022-10-04,Changed Mind,665
RET000023,ORD00074,PROD00614,2022-10-01,Size Issue,3267
RET000024,ORD00078,PROD03256,2024-11-18,Wrong Item Delivered,8544
RET000025,ORD00078,PROD01825,2025-09-10,Defective Product,4042
RET000026,ORD00082,PROD01075,2024-11-19,Wrong Item Delivered,960
RET000027,ORD00087,PROD04738,2024-08-13,Quality Not Good,1743
RET000028,ORD00092,PROD01838,2025-01-07,Wrong Item Delivered,1626
RET000029,ORD00096,PROD00748,2025-06-10,Size Issue,754
RET000030,ORD00100,PROD01129,2024-08-05,Late Delivery,3744
RET000031,ORD00103,PROD00734,2022-11-23,Changed Mind,1967
RET000032,ORD00104,PROD03440,2022-05-20,Wrong Item Delivered,1407
RET000033,ORD00108,PROD03192,2022-10-12,Size Issue,2775
RET000034,ORD00108,PROD03058,2023-01-09,Size Issue,2163
RET000035,ORD00110,PROD00699,2023-06-23,Defective Product,9288
RET000036,ORD00117,PROD00040,2023-09-28,Size Issue,4800
RET000037,ORD00120,PROD03402,2025-11-07,Changed Mind,1761
RET000038,ORD00121,PROD00490,2024-12-16,Changed Mind,1971
RET000039,ORD00121,PROD03050,2024-06-24,Defective Product,1794
RET000040,ORD00131,PROD03942,2025-01-24,Size Issue,2228
RET000041,ORD00142,PROD00007,2024-09-03,Size Issue,839
RET000042,ORD00144,PROD00928,2024-07-10,Defective Product,3374
RET000043,ORD00145,PROD02534,2025-08-25,Size Issue,3055
RET000044,ORD00147,PROD02400,2025-01-12,Defective Product,2037
RET000045,ORD00150,PROD04395,2024-10-18,Wrong Item Delivered,9099
RET000046,ORD00154,PROD00843,2022-07-14,Quality Not Good,2313
RET000047,ORD00154,PROD00112,2023-03-20,Late Delivery,1342
RET000048,ORD00154,PROD02768,2025-09-07,Changed Mind,2558
