Order_Detail_ID,Order_ID,Product_ID,Quantity,Unit_Price,Discount_Percentage,Total_Price
OD00001,ORD06789,PROD01985,1,807,0,807
OD00002,ORD00655,PROD00199,1,3307,0,3307
OD00003,ORD05394,PROD01909,1,4361,0,4361
OD00004,ORD05028,PROD01122,4,1590,0,6360
OD00005,ORD06961,PROD01763,3,1381,0,4143
OD00006,ORD07753,PROD00892,1,1269,0,1269
OD00007,ORD03998,PROD01145,1,4782,25,3586
OD00008,ORD07479,PROD00688,2,3280,0,6560
OD00009,ORD04943,PROD01724,2,3597,0,7194
OD00010,ORD06346,PROD00834,1,4177,5,3968
OD00011,ORD06705,PROD00512,2,2202,0,4404
OD00012,ORD04549,PROD01852,1,4610,10,4149
OD00013,ORD06176,PROD01786,1,3160,0,3160
OD00014,ORD06135,PROD01091,1,2232,0,2232
OD00015,ORD00483,PROD00128,1,1224,5,1162
OD00016,ORD06429,PROD00691,2,4837,10,8706
OD00017,ORD00887,PROD00639,1,3640,20,2912
OD00018,ORD05621,PROD01387,1,4321,20,3456
OD00019,ORD02447,PROD01784,4,4730,20,15136
OD00020,ORD04306,PROD00596,1,3935,25,2951
OD00021,ORD00093,PROD00073,1,1559,0,1559
OD00022,ORD07266,PROD00363,3,3272,15,8343
OD00023,ORD03520,PROD00269,1,3125,25,2343
OD00024,ORD04199,PROD00058,1,1193,5,1133
OD00025,ORD06067,PROD00520,1,1888,0,1888
OD00026,ORD04971,PROD00179,2,4539,0,9078
OD00027,ORD00367,PROD01981,2,2743,10,4937
OD00028,ORD05421,PROD00295,2,2071,0,4142
OD00029,ORD00690,PROD00598,1,1144,0,1144
OD00030,ORD04683,PROD00068,1,1768,10,1591
OD00031,ORD00121,PROD01588,1,1697,0,1697
OD00032,ORD04148,PROD00854,2,477,25,715
OD00033,ORD04603,PROD01406,3,2903,0,8709
OD00034,ORD07282,PROD01782,2,1133,5,2152
OD00035,ORD06916,PROD01915,1,728,0,728
OD00036,ORD01240,PROD00802,2,1577,20,2523
OD00037,ORD05843,PROD01091,1,2444,5,2321
OD00038,ORD07388,PROD00813,1,2400,0,2400
OD00039,ORD05013,PROD01366,1,3851,25,2888
OD00040,ORD03605,PROD01740,2,4007,5,7613
OD00041,ORD07266,PROD00238,1,1523,10,1370
OD00042,ORD06194,PROD01980,1,1167,0,1167
OD00043,ORD07785,PROD01501,1,3058,0,3058
OD00044,ORD00998,PROD01428,2,2468,0,4936
OD00045,ORD02150,PROD01700,1,1556,5,1478
OD00046,ORD05013,PROD00816,2,1104,20,1766
OD00047,ORD01615,PROD01508,1,469,0,469
OD00048,ORD03824,PROD01028,1,3750,0,3750
OD00049,ORD04832,PROD01945,4,1042,0,4168
OD00050,ORD02780,PROD01243,2,520,0,1040
OD00051,ORD03414,PROD01178,1,1513,20,1210
OD00052,ORD02133,PROD00787,1,3773,0,3773
OD00053,ORD02506,PROD00493,1,4692,0,4692
OD00054,ORD02624,PROD01744,3,4024,0,12072
OD00055,ORD05022,PROD00723,1,2239,25,1679
OD00056,ORD00086,PROD01346,2,450,10,810
OD00057,ORD06188,PROD00414,2,2509,0,5018
OD00058,ORD00005,PROD01341,2,3923,0,7846
OD00059,ORD04699,PROD00003,2,430,0,860
OD00060,ORD07950,PROD00217,2,3621,0,7242
OD00061,ORD00913,PROD01931,1,2426,0,2426
OD00062,ORD01752,PROD01117,2,2140,0,4280
OD00063,ORD05633,PROD00473,2,1056,10,1900
OD00064,ORD06455,PROD01830,2,2955,0,5910
OD00065,ORD05165,PROD00470,1,428,0,428
OD00066,ORD07647,PROD00226,2,2093,0,4186
OD00067,ORD07662,PROD01202,1,4648,0,4648
OD00068,ORD00134,PROD01123,1,3474,20,2779
OD00069,ORD04386,PROD01631,1,2426,10,2183
OD00070,ORD03484,PROD01178,1,1568,0,1568
OD00071,ORD05564,PROD00269,2,2465,0,4930
OD00072,ORD01362,PROD00394,1,2195,5,2085
OD00073,ORD00453,PROD00816,3,3383,0,10149
OD00074,ORD05746,PROD00600,1,1287,5,1222
OD00075,ORD06757,PROD00876,2,1298,20,2076
OD00076,ORD06344,PROD01195,1,1562,0,1562
OD00077,ORD06820,PROD00774,1,4717,5,4481
OD00078,ORD07776,PROD01366,2,1492,0,2984
OD00079,ORD04597,PROD00117,2,651,25,976
OD00080,ORD01176,PROD00339,2,708,0,1416
OD00081,ORD01888,PROD00696,1,3572,25,2679
OD00082,ORD01686,PROD00497,1,4886,0,4886
OD00083,ORD07885,PROD01782,2,2003,10,3605
OD00084,ORD04735,PROD01287,1,2950,0,2950
OD00085,ORD00681,PROD01659,3,2481,5,7070
OD00086,ORD04604,PROD00003,4,2244,25,6732
OD00087,ORD00992,PROD01990,1,957,0,957
OD00088,ORD04624,PROD01745,2,3753,20,6004
OD00089,ORD03372,PROD01689,1,2311,0,2311
OD00090,ORD05605,PROD00566,1,4696,5,4461
OD00091,ORD02650,PROD01674,2,1780,15,3026
OD00092,ORD05787,PROD00680,1,4582,0,4582
OD00093,ORD01302,PROD01992,1,3655,0,3655
OD00094,ORD02751,PROD00348,1,3784,0,3784
OD00095,ORD03325,PROD01537,1,3211,15,2729
OD00096,ORD07772,PROD00521,1,1080,0,1080
OD00097,ORD05908,PROD00044,4,1419,0,5676
