Order_ID,Customer_ID,Order_Date,Order_Status,Payment_Method,Shipping_Type,Delivery_Date,Total_Amount,Discount_Amount,Final_Amount
ORD00001,CUST04751,2022-05-16,Completed,UPI,Express,2022-05-17,639,0,639
ORD00002,CUST01361,2023-06-29,Completed,Wallet,Standard,2023-07-03,3402,209,3193
ORD00003,CUST01971,2024-06-06,Completed,UPI,Standard,2024-06-12,1898,402,1496
ORD00004,CUST00091,2023-05-21,Completed,UPI,Standard,2023-05-27,2685,0,2685
ORD00005,CUST00706,2024-02-07,Completed,COD,Express,2024-02-10,1150,0,1150
ORD00006,CUST02057,2022-06-19,Completed,COD,Standard,2022-06-23,1007,0,1007
ORD00007,CUST01227,2021-10-29,Completed,Wallet,Standard,2021-11-05,2851,838,2013
ORD00008,CUST02225,2021-11-24,Cancelled,UPI,Express,,2233,0,2233
ORD00009,CUST01560,2021-05-11,Completed,COD,Express,2021-05-12,2985,846,2139
ORD00010,CUST03992,2022-05-14,Completed,UPI,Standard,2022-05-18,4096,0,4096
ORD00011,CUST02800,2022-12-29,Completed,Card,Standard,2023-01-04,1915,0,1915
ORD00012,CUST02563,2024-04-25,Completed,COD,Standard,2024-05-01,3772,0,3772
ORD00013,CUST02348,2024-04-25,Completed,Card,Express,2024-04-28,2759,0,2759
ORD00014,CUST00127,2025-06-25,Completed,UPI,Express,2025-06-28,1490,160,1330
ORD00015,CUST02433,2021-08-29,Completed,COD,Standard,2021-09-01,923,0,923
ORD00016,CUST03504,2021-11-26,Completed,Wallet,Standard,2021-12-02,4925,0,4925
ORD00017,CUST02079,2024-12-11,Completed,Wallet,Standard,2024-12-16,1605,0,1605
ORD00018,CUST04163,2023-09-23,Completed,UPI,Express,2023-09-24,2824,684,2140
ORD00019,CUST04486,2025-07-07,Completed,UPI,Standard,2025-07-11,2248,0,2248
ORD00020,CUST03810,2023-01-21,Completed,Card,Express,2023-01-22,2813,441,2372
ORD00021,CUST03257,2021-07-10,Completed,Card,Express,2021-07-11,844,0,844
ORD00022,CUST01074,2022-04-21,Completed,Card,Express,2022-04-23,1083,213,870
ORD00023,CUST04853,2021-05-20,Completed,UPI,Express,2021-05-21,1443,0,1443
