auction_id,item_id,start_time,end_time,auction_status,winner_user_id,final_price,total_bids,auction_type
AUC00001,ITEM01870,2024-04-22 13:36:00,2024-04-27 13:36:00,closed,USER01392,4921,46,standard
AUC00002,ITEM01359,2025-05-25 08:57:00,2025-05-31 08:57:00,active,,0,43,sealed
AUC00003,ITEM00204,2024-04-30 07:50:00,2024-05-02 07:50:00,active,,0,22,standard
AUC00004,ITEM01379,2022-09-13 09:51:00,2022-09-19 09:51:00,active,,0,33,reverse
AUC00005,ITEM01762,2024-08-11 02:59:00,2024-08-20 02:59:00,closed,USER02931,32937,12,reverse
AUC00006,ITEM01869,2023-03-16 10:35:00,2023-03-19 10:35:00,closed,USER00424,13528,44,sealed
AUC00007,ITEM00072,2025-10-27 04:22:00,2025-11-04 04:22:00,closed,USER02285,22874,48,reverse
AUC00008,ITEM00510,2025-05-11 17:54:00,2025-05-21 17:54:00,closed,USER02166,64146,24,reverse
AUC00009,ITEM00587,2024-07-09 04:23:00,2024-07-12 04:23:00,closed,USER00648,4848,31,standard
AUC00010,ITEM01611,2025-11-08 17:41:00,2025-11-13 17:41:00,closed,USER00968,6584,6,standard
AUC00011,ITEM01590,2022-01-03 20:37:00,2022-01-04 20:37:00,closed,USER01581,90816,19,reverse
AUC00012,ITEM01340,2023-08-05 12:46:00,2023-08-13 12:46:00,closed,USER00432,59751,27,sealed
AUC00013,ITEM00292,2024-11-04 06:46:00,2024-11-09 06:46:00,cancelled,,0,28,sealed
AUC00014,ITEM00055,2024-11-28 06:50:00,2024-12-04 06:50:00,closed,USER01441,40802,3,standard
AUC00015,ITEM00634,2024-01-21 01:58:00,2024-01-25 01:58:00,cancelled,,0,8,reverse
AUC00016,ITEM00530,2023-07-18 23:22:00,2023-07-19 23:22:00,closed,USER01913,93193,7,sealed
AUC00017,ITEM01363,2025-02-23 22:39:00,2025-03-02 22:39:00,closed,USER02540,79870,20,reverse
AUC00018,ITEM00854,2022-12-20 07:51:00,2022-12-30 07:51:00,active,,0,9,reverse
AUC00019,ITEM00366,2025-11-09 03:20:00,2025-11-14 03:20:00,active,,0,48,standard
AUC00020,ITEM01873,2024-06-07 08:32:00,2024-06-15 08:32:00,active,,0,32,reverse
AUC00021,ITEM01795,2025-09-26 00:05:00,2025-10-06 00:05:00,active,,0,24,sealed
AUC00022,ITEM01444,2025-01-15 17:23:00,2025-01-19 17:23:00,cancelled,,0,28,reverse
AUC00023,ITEM00652,2023-06-13 08:15:00,2023-06-18 08:15:00,cancelled,,0,23,sealed
AUC00024,ITEM00120,2024-08-16 07:57:00,2024-08-26 07:57:00,closed,USER00184,63702,10,sealed
AUC00025,ITEM00849,2025-07-15 20:58:00,2025-07-16 20:58:00,closed,USER02739,40539,31,standard
AUC00026,ITEM01745,2025-06-03 02:02:00,2025-06-07 02:02:00,cancelled,,0,27,reverse
AUC00027,ITEM01552,2023-10-01 07:12:00,2023-10-09 07:12:00,active,,0,26,reverse
AUC00028,ITEM00389,2023-01-29 06:51:00,2023-01-30 06:51:00,active,,0,17,sealed
AUC00029,ITEM01811,2024-03-20 18:46:00,2024-03-22 18:46:00,cancelled,,0,18,reverse
AUC00030,ITEM01723,2025-02-09 16:20:00,2025-02-11 16:20:00,active,,0,7,standard
AUC00031,ITEM00111,2023-09-24 01:42:00,2023-09-28 01:42:00,closed,USER01674,38128,27,sealed
AUC00032,ITEM01481,2022-11-10 05:15:00,2022-11-13 05:15:00,cancelled,,0,43,standard
AUC00033,ITEM00625,2024-08-31 06:48:00,2024-09-03 06:48:00,closed,USER02552,94418,4,standard
AUC00034,ITEM00079,2024-08-25 12:39:00,2024-08-29 12:39:00,closed,USER00621,30392,46,sealed
AUC00035,ITEM01823,2024-12-17 00:47:00,2024-12-23 00:47:00,closed,USER00269,44743,35,sealed
AUC00036,ITEM00065,2023-12-19 17:49:00,2023-12-27 17:49:00,closed,USER00588,77944,10,reverse
AUC00037,ITEM01403,2024-01-15 00:26:00,2024-01-18 00:26:00,closed,USER00310,89314,6,reverse
AUC00038,ITEM01218,2024-09-28 16:09:00,2024-10-07 16:09:00,active,,0,23,standard
AUC00039,ITEM01197,2023-05-11 23:03:00,2023-05-13 23:03:00,active,,0,38,reverse
AUC00040,ITEM00013,2024-11-28 05:54:00,2024-12-02 05:54:00,closed,USER01200,57480,29,sealed
AUC00041,ITEM01770,2022-04-16 19:35:00,2022-04-21 19:35:00,active,,0,35,standard
AUC00042,ITEM01596,2025-07-19 17:51:00,2025-07-22 17:51:00,closed,USER01601,97663,43,sealed
AUC00043,ITEM00099,2024-01-10 08:09:00,2024-01-18 08:09:00,active,,0,29,sealed
AUC00044,ITEM00518,2025-08-30 01:21:00,2025-09-01 01:21:00,closed,USER01119,98752,31,reverse
AUC00045,ITEM00032,2025-11-12 23:16:00,2025-11-20 23:16:00,cancelled,,0,48,reverse
AUC00046,ITEM00397,2024-08-26 16:02:00,2024-08-28 16:02:00,cancelled,,0,13,standard
AUC00047,ITEM00058,2023-10-23 01:35:00,2023-10-29 01:35:00,cancelled,,0,28,sealed
AUC00048,ITEM00233,2022-06-06 00:45:00,2022-06-08 00:45:00,active,,0,46,sealed
AUC00049,ITEM00136,2024-01-24 11:33:00,2024-01-30 11:33:00,closed,USER00415,34411,2,standard
AUC00050,ITEM00192,2023-03-30 11:04:00,2023-04-05 11:04:00,closed,USER00285,57645,31,reverse
AUC00051,ITEM00784,2024-12-28 03:08:00,2025-01-06 03:08:00,closed,USER02734,24054,25,reverse
AUC00052,ITEM01801,2024-11-15 07:59:00,2024-11-24 07:59:00,active,,0,12,sealed
AUC00053,ITEM01057,2024-03-03 04:18:00,2024-03-10 04:18:00,closed,USER01766,49794,33,sealed
AUC00054,ITEM01560,2023-10-22 00:42:00,2023-10-28 00:42:00,active,,0,7,sealed
AUC00055,ITEM01286,2024-06-21 23:37:00,2024-06-27 23:37:00,closed,USER02802,41984,4,reverse
AUC00056,ITEM01680,2025-12-02 18:50:00,2025-12-04 18:50:00,closed,USER00403,39161,40,sealed
AUC00057,ITEM01980,2022-01-14 07:14:00,2022-01-19 07:14:00,cancelled,,0,32,sealed
AUC00058,ITEM00730,2024-11-12 22:43:00,2024-11-13 22:43:00,active,,0,18,reverse
AUC00059,ITEM00527,2024-11-08 22:28:00,2024-11-18 22:28:00,closed,USER01885,2728,16,sealed
AUC00060,ITEM00412,2024-06-30 04:44:00,2024-07-10 04:44:00,closed,USER02595,50033,42,standard
AUC00061,ITEM01620,2024-08-20 05:56:00,2024-08-24 05:56:00,closed,USER01511,96122,20,sealed
AUC00062,ITEM00977,2024-04-15 22:12:00,2024-04-16 22:12:00,closed,USER01638,78004,40,standard
AUC00063,ITEM00072,2025-11-24 00:22:00,2025-11-26 00:22:00,active,,0,42,sealed
AUC00064,ITEM01297,2025-09-24 13:12:00,2025-09-26 13:12:00,active,,0,6,reverse
AUC00065,ITEM01817,2025-06-19 14:37:00,2025-06-27 14:37:00,closed,,0,0,standard
AUC00066,ITEM01587,2025-10-09 15:37:00,2025-10-17 15:37:00,active,,0,45,sealed
AUC00067,ITEM01848,2022-09-13 10:27:00,2022-09-23 10:27:00,closed,USER01065,21335,27,sealed
AUC00068,ITEM00269,2023-05-10 14:36:00,2023-05-12 14:36:00,active,,0,30,reverse
AUC00069,ITEM00368,2023-11-29 17:39:00,2023-12-06 17:39:00,closed,USER01076,11467,19,sealed
AUC00070,ITEM01890,2024-05-12 23:18:00,2024-05-14 23:18:00,active,,0,20,standard
AUC00071,ITEM00215,2022-09-15 14:51:00,2022-09-24 14:51:00,closed,USER02153,22930,35,standard
AUC00072,ITEM01618,2023-08-06 12:15:00,2023-08-09 12:15:00,active,,0,43,sealed
AUC00073,ITEM01087,2024-09-08 21:15:00,2024-09-15 21:15:00,closed,USER00220,85890,25,standard
AUC00074,ITEM01746,2024-09-04 15:52:00,2024-09-08 15:52:00,closed,USER00791,32798,17,standard
AUC00075,ITEM01557,2023-09-15 05:20:00,2023-09-25 05:20:00,closed,USER02893,7952,2,reverse
AUC00076,ITEM01033,2023-06-28 08:50:00,2023-06-29 08:50:00,closed,USER00894,49157,16,sealed
AUC00077,ITEM01353,2022-04-30 10:50:00,2022-05-07 10:50:00,active,,0,24,standard
AUC00078,ITEM00184,2023-03-04 19:54:00,2023-03-13 19:54:00,cancelled,,0,43,standard
AUC00079,ITEM00446,2025-08-13 08:53:00,2025-08-16 08:53:00,cancelled,,0,14,sealed
AUC00080,ITEM01135,2024-12-30 03:39:00,2025-01-08 03:39:00,closed,USER00402,77143,7,sealed
AUC00081,ITEM00458,2023-05-26 23:37:00,2023-06-05 23:37:00,cancelled,,0,31,standard
AUC00082,ITEM00553,2023-07-16 22:38:00,2023-07-26 22:38:00,closed,USER00211,21356,1,standard
AUC00083,ITEM00491,2023-07-06 00:59:00,2023-07-12 00:59:00,closed,USER01763,3622,25,sealed
AUC00084,ITEM01353,2022-06-04 01:20:00,2022-06-08 01:20:00,closed,USER01858,98134,12,standard
AUC00085,ITEM00652,2022-02-28 12:50:00,2022-03-05 12:50:00,closed,USER01477,51623,28,standard
AUC00086,ITEM01524,2024-11-21 00:30:00,2024-11-30 00:30:00,active,,0,16,reverse
AUC00087,ITEM00689,2022-08-29 23:59:00,2022-09-06 23:59:00,closed,USER00063,10482,25,standard
AUC00088,ITEM00856,2023-06-08 06:14:00,2023-06-12 06:14:00,closed,USER01351,82792,21,standard
AUC00089,ITEM01270,2025-10-05 09:08:00,2025-10-15 09:08:00,closed,USER00981,65570,25,standard
AUC00090,ITEM00712,2025-07-28 04:59:00,2025-07-30 04:59:00,closed,USER00637,83580,43,standard
AUC00091,ITEM00315,2025-03-20 06:28:00,2025-03-30 06:28:00,closed,USER00299,42738,49,reverse
AUC00092,ITEM01760,2022-02-08 15:49:00,2022-02-17 15:49:00,closed,USER01526,15819,12,standard
AUC00093,ITEM00099,2025-03-08 00:13:00,2025-03-10 00:13:00,closed,USER01031,39380,32,standard
AUC00094,ITEM00452,2023-03-09 15:54:00,2023-03-15 15:54:00,closed,USER01124,9811,25,standard
AUC00095,ITEM00564,2024-04-04 22:57:00,2024-04-14 22:57:00,closed,USER01928,39789,20,sealed
AUC00096,ITEM00799,2023-05-11 21:45:00,2023-05-20 21:45:00,closed,USER02335,69029,30,reverse
AUC00097,ITEM00688,2025-05-13 01:00:00,2025-05-21 01:00:00,cancelled,,0,43,sealed
AUC00098,ITEM01991,2023-05-01 11:04:00,2023-05-09 11:04:00,closed,USER01194,47592,16,reverse
AUC00099,ITEM01874,2023-01-09 23:32:00,2023-01-15 23:32:00,closed,USER00938,96144,5,sealed
AUC00100,ITEM00472,2025-09-21 02:22:00,2025-09-29 02:22:00,closed,USER01700,33846,48,standard
AUC00101,ITEM00354,2025-01-19 23:19:00,2025-01-29 23:19:00,closed,USER01739,55795,32,sealed
AUC00102,ITEM01562,2024-09-14 18:56:00,2024-09-18 18:56:00,closed,USER02652,2032,40,standard
AUC00103,ITEM01234,2023-11-09 17:53:00,2023-11-18 17:53:00,closed,USER01489,73170,11,reverse
AUC00104,ITEM01028,2024-06-10 15:02:00,2024-06-11 15:02:00,active,,0,14,reverse
AUC00105,ITEM00807,2022-06-04 08:28:00,2022-06-05 08:28:00,active,,0,15,reverse
AUC00106,ITEM01539,2024-01-10 20:45:00,2024-01-18 20:45:00,closed,USER02591,6544,28,reverse
AUC00107,ITEM01460,2024-07-02 11:30:00,2024-07-05 11:30:00,active,,0,48,reverse
AUC00108,ITEM01114,2022-04-07 13:04:00,2022-04-14 13:04:00,cancelled,,0,45,sealed
AUC00109,ITEM01961,2022-05-04 23:47:00,2022-05-08 23:47:00,closed,USER02950,68740,48,standard
AUC00110,ITEM00653,2025-09-10 14:32:00,2025-09-15 14:32:00,cancelled,,0,22,reverse
AUC00111,ITEM01158,2023-05-06 00:40:00,2023-05-07 00:40:00,active,,0,16,sealed
AUC00112,ITEM00004,2022-03-21 22:21:00,2022-03-22 22:21:00,closed,USER02083,65654,4,reverse
AUC00113,ITEM01947,2025-07-25 23:03:00,2025-07-30 23:03:00,cancelled,,0,27,sealed
AUC00114,ITEM00301,2023-03-21 21:01:00,2023-03-27 21:01:00,closed,USER02161,19139,50,standard
AUC00115,ITEM01396,2024-08-16 08:17:00,2024-08-25 08:17:00,cancelled,,0,25,standard
AUC00116,ITEM00936,2022-11-21 06:01:00,2022-11-26 06:01:00,cancelled,,0,19,reverse
AUC00117,ITEM01034,2022-08-10 15:41:00,2022-08-13 15:41:00,cancelled,,0,25,reverse
AUC00118,ITEM01182,2024-08-11 21:06:00,2024-08-18 21:06:00,active,,0,27,sealed
AUC00119,ITEM01590,2025-09-09 17:13:00,2025-09-10 17:13:00,active,,0,7,standard
AUC00120,ITEM00754,2023-06-06 01:54:00,2023-06-09 01:54:00,active,,0,22,sealed
AUC00121,ITEM01384,2023-04-13 14:53:00,2023-04-16 14:53:00,cancelled,,0,8,sealed
AUC00122,ITEM00933,2025-11-18 00:47:00,2025-11-21 00:47:00,closed,USER02404,51381,49,standard
AUC00123,ITEM01802,2024-08-31 15:09:00,2024-09-03 15:09:00,closed,USER02662,12284,36,sealed
AUC00124,ITEM01643,2025-11-15 01:26:00,2025-11-24 01:26:00,closed,USER02633,49127,4,standard
AUC00125,ITEM00024,2025-05-11 18:26:00,2025-05-15 18:26:00,closed,USER02913,48822,14,sealed
AUC00126,ITEM00615,2022-08-09 00:27:00,2022-08-16 00:27:00,active,,0,2,standard
AUC00127,ITEM00259,2024-10-29 21:23:00,2024-11-03 21:23:00,closed,,0,0,sealed
AUC00128,ITEM01973,2025-11-28 19:51:00,2025-12-06 19:51:00,closed,USER01546,78193,18,reverse
AUC00129,ITEM01249,2022-03-21 06:40:00,2022-03-31 06:40:00,active,,0,47,sealed
AUC00130,ITEM01223,2024-03-10 09:39:00,2024-03-19 09:39:00,closed,USER02332,74354,5,standard
AUC00131,ITEM00759,2024-01-28 15:42:00,2024-02-03 15:42:00,closed,USER01192,89802,49,sealed
AUC00132,ITEM01460,2023-12-23 16:16:00,2023-12-25 16:16:00,closed,USER00568,68813,50,standard
AUC00133,ITEM00671,2024-01-14 09:19:00,2024-01-23 09:19:00,closed,USER01771,55875,50,sealed
AUC00134,ITEM00843,2024-01-29 06:29:00,2024-02-01 06:29:00,closed,USER01689,72110,23,reverse
AUC00135,ITEM00219,2024-07-13 14:48:00,2024-07-23 14:48:00,closed,USER00443,76536,21,sealed
AUC00136,ITEM01541,2024-10-06 11:10:00,2024-10-09 11:10:00,closed,USER02257,48381,5,reverse
AUC00137,ITEM01546,2025-12-02 20:10:00,2025-12-08 20:10:00,closed,USER02695,26300,21,reverse
AUC00138,ITEM01630,2022-05-25 14:27:00,2022-05-28 14:27:00,cancelled,,0,42,reverse
AUC00139,ITEM01322,2023-02-19 21:59:00,2023-02-20 21:59:00,closed,USER02832,71190,19,reverse
AUC00140,ITEM00863,2022-05-27 02:55:00,2022-06-01 02:55:00,active,,0,32,reverse
AUC00141,ITEM01126,2024-11-14 10:57:00,2024-11-22 10:57:00,active,,0,33,standard
AUC00142,ITEM01899,2025-06-12 20:05:00,2025-06-14 20:05:00,active,,0,24,sealed
AUC00143,ITEM01490,2022-03-26 13:59:00,2022-03-28 13:59:00,closed,USER00352,73654,26,reverse
AUC00144,ITEM01674,2023-12-02 10:36:00,2023-12-12 10:36:00,active,,0,21,reverse
