item_id,seller_id,item_name,category,sub_category,starting_price,reserve_price,buy_now_price,item_condition,created_date
ITEM00001,USER02382,Nike Running Shoes,Home,Kitchen,8296,13170,26562,new,2022-07-29
ITEM00002,USER01736,Nike Running Shoes,Home,Decor,2678,3514,12115,new,2023-07-03
ITEM00003,USER01892,Samsung Galaxy S22,Home,Decor,26826,31364,35389,new,2024-07-29
ITEM00004,USER00850,Used Honda City Car,Electronics,Mobile,13862,18332,37632,new,2023-10-24
ITEM00005,USER02290,Dell XPS 13 Laptop,Vehicles,Bike,23275,31626,36938,new,2023-11-11
ITEM00006,USER02860,Gaming Keyboard,Collectibles,Antiques,12826,21227,33659,used,2022-11-23
ITEM00007,USER00056,Vintage Coin Collection,Home,Decor,42316,51084,64772,used,2022-03-05
ITEM00008,USER02005,Nike Running Shoes,Vehicles,Bike,36017,41060,49900,used,2025-08-29
ITEM00009,USER02022,Nike Running Shoes,Fashion,Watches,22034,26540,43804,used,2023-08-09
ITEM00010,USER00518,Canon DSLR Camera,Collectibles,Antiques,45600,54357,72130,new,2024-05-05
ITEM00011,USER01825,Nike Running Shoes,Collectibles,Antiques,33195,40701,58576,used,2022-04-23
ITEM00012,USER00066,Wooden Dining Table,Home,Kitchen,26189,32840,49712,new,2022-08-20
ITEM00013,USER01006,Nike Running Shoes,Collectibles,Art,33003,36141,52817,used,2022-03-27
ITEM00014,USER01217,Leather Jacket,Vehicles,Bike,3766,6705,16655,new,2025-01-08
ITEM00015,USER01392,Kitchen Mixer Grinder,Fashion,Women Clothing,45803,51530,66583,new,2024-08-22
ITEM00016,USER02511,Yamaha Bike,Vehicles,Car,17955,19330,32569,new,2025-09-02
ITEM00017,USER02227,Antique Wall Clock,Home,Furniture,48143,50555,60946,used,2024-06-04
ITEM00018,USER00838,Vintage Coin Collection,Electronics,Camera,3128,5724,9607,new,2024-04-16
ITEM00019,USER02506,Yamaha Bike,Collectibles,Coins,14066,15545,31800,used,2025-07-02
ITEM00020,USER00248,Wooden Dining Table,Fashion,Watches,46602,48127,49812,used,2022-10-31
ITEM00021,USER00058,Office Chair,Fashion,Watches,39315,40705,59523,used,2022-07-10
ITEM00022,USER01867,Canon DSLR Camera,Fashion,Women Clothing,1851,4396,7715,new,2022-01-28
ITEM00023,USER02453,Nike Running Shoes,Home,Kitchen,31266,31816,40888,new,2022-12-29
ITEM00024,USER02010,Canon DSLR Camera,Vehicles,Car,22197,26532,40750,new,2025-04-02
ITEM00025,USER00282,Sony WH-1000XM4 Headphones,Electronics,Camera,21185,30032,48194,new,2022-02-03
ITEM00026,USER00410,Antique Wall Clock,Home,Furniture,10134,16150,33781,new,2024-02-02
ITEM00027,USER00282,Sony WH-1000XM4 Headphones,Electronics,Mobile,42150,50505,61701,new,2025-03-25
ITEM00028,USER02181,Used Honda City Car,Electronics,Headphones,8042,17277,21697,new,2022-10-18
ITEM00029,USER01721,Leather Jacket,Home,Decor,38593,42201,51653,new,2024-09-16
ITEM00030,USER02674,Used Honda City Car,Vehicles,Car,5907,12960,27634,used,2022-05-15
ITEM00031,USER01638,Canon DSLR Camera,Vehicles,Bike,24388,26402,42622,used,2022-01-13
ITEM00032,USER02606,Yamaha Bike,Electronics,Laptop,25684,28944,39525,new,2025-06-20
ITEM00033,USER00215,iPhone 13 Pro,Collectibles,Coins,33831,35397,45042,new,2025-05-04
ITEM00034,USER02583,Canon DSLR Camera,Fashion,Watches,43596,49202,66563,used,2023-02-05
ITEM00035,USER00339,Wooden Dining Table,Home,Kitchen,46460,55002,57228,new,2022-11-07
ITEM00036,USER00889,Wooden Dining Table,Collectibles,Coins,45986,54835,66659,used,2022-08-06
ITEM00037,USER02580,Gaming Keyboard,Vehicles,Car,4763,14371,26813,new,2022-01-11
ITEM00038,USER02492,Kitchen Mixer Grinder,Fashion,Watches,47612,53894,56739,used,2024-03-08
ITEM00039,USER00463,Kitchen Mixer Grinder,Fashion,Watches,45463,53027,56767,used,2024-11-17
ITEM00040,USER02115,Rolex Style Watch,Home,Furniture,48533,50815,62968,new,2022-02-12
ITEM00041,USER00707,Rolex Style Watch,Home,Furniture,39359,47277,63870,used,2023-09-06
ITEM00042,USER01093,Office Chair,Collectibles,Antiques,4520,8902,15708,new,2024-09-01
ITEM00043,USER00259,Rolex Style Watch,Fashion,Men Clothing,15803,20039,23525,used,2025-12-02
ITEM00044,USER00563,iPhone 13 Pro,Home,Kitchen,47600,54883,63773,new,2022-03-12
ITEM00045,USER00409,Samsung Galaxy S22,Home,Kitchen,18827,27887,29135,used,2023-12-15
ITEM00046,USER02026,Dell XPS 13 Laptop,Home,Decor,17575,23804,27072,new,2023-02-12
ITEM00047,USER01235,Rolex Style Watch,Vehicles,Bike,9379,15267,32172,new,2022-02-25
ITEM00048,USER01347,Kitchen Mixer Grinder,Electronics,Camera,47511,53745,69219,used,2023-01-28
ITEM00049,USER01721,Sony WH-1000XM4 Headphones,Vehicles,Car,48770,56093,69186,used,2025-10-27
ITEM00050,USER02138,Canon DSLR Camera,Collectibles,Coins,48425,50183,52372,used,2023-12-08
ITEM00051,USER01804,Yamaha Bike,Vehicles,Car,40835,42325,51125,new,2023-01-20
ITEM00052,USER01473,Samsung Galaxy S22,Collectibles,Art,25125,27346,43288,new,2024-10-18
ITEM00053,USER02904,Wooden Dining Table,Electronics,Laptop,48921,53361,69432,used,2025-10-31
ITEM00054,USER02696,Kitchen Mixer Grinder,Vehicles,Car,49571,54129,72611,used,2024-06-12
ITEM00055,USER00699,Used Honda City Car,Fashion,Watches,1422,4545,7911,used,2025-06-02
ITEM00056,USER02978,Wooden Dining Table,Vehicles,Bike,20105,28291,31873,used,2024-11-08
ITEM00057,USER00343,Yamaha Bike,Home,Decor,23997,26418,41723,used,2024-11-21
ITEM00058,USER01522,Sony WH-1000XM4 Headphones,Electronics,Mobile,25719,33366,49490,used,2024-01-21
ITEM00059,USER01362,iPhone 13 Pro,Collectibles,Antiques,43384,45427,55453,used,2024-06-17
ITEM00060,USER02838,Vintage Coin Collection,Collectibles,Coins,18236,27551,43853,used,2025-11-14
ITEM00061,USER02310,Samsung Galaxy S22,Home,Kitchen,6763,16464,20038,new,2025-10-22
ITEM00062,USER00730,Yamaha Bike,Electronics,Laptop,38269,40547,47282,new,2022-11-15
ITEM00063,USER00041,Samsung Galaxy S22,Electronics,Mobile,41529,49046,55942,new,2023-08-05
ITEM00064,USER00121,Samsung Galaxy S22,Home,Kitchen,26254,34066,40129,new,2024-07-29
ITEM00065,USER00023,Samsung Galaxy S22,Fashion,Watches,21456,23150,26437,new,2024-11-27
ITEM00066,USER00046,Antique Wall Clock,Home,Kitchen,11715,19881,26069,new,2023-08-09
ITEM00067,USER00260,Antique Wall Clock,Collectibles,Art,34004,38005,41942,used,2023-09-11
ITEM00068,USER01985,Kitchen Mixer Grinder,Home,Kitchen,24594,30092,39086,used,2024-12-07
ITEM00069,USER02351,Nike Running Shoes,Collectibles,Antiques,33284,41079,43823,used,2024-03-28
ITEM00070,USER00265,Samsung Galaxy S22,Fashion,Watches,49142,59139,63312,used,2025-01-06
