bid_id,auction_id,user_id,bid_amount,bid_time,bid_status,is_auto_bid
BID000001,AUC00001,USER02652,1832,2024-04-26 12:44:29,outbid,Yes
BID000002,AUC00001,USER00902,3079,2024-04-25 15:36:42,outbid,No
BID000003,AUC00001,USER02205,3909,2024-04-24 22:57:18,outbid,No
BID000004,AUC00001,USER00695,5372,2024-04-27 05:40:06,outbid,Yes
BID000005,AUC00001,USER01935,5938,2024-04-27 03:24:37,outbid,Yes
BID000006,AUC00001,USER02352,7387,2024-04-23 02:45:53,outbid,No
BID000007,AUC00001,USER01385,8981,2024-04-26 06:09:29,outbid,No
BID000008,AUC00001,USER00521,9185,2024-04-24 10:25:48,outbid,No
BID000009,AUC00001,USER00386,11068,2024-04-25 02:50:14,outbid,Yes
BID000010,AUC00001,USER01284,12044,2024-04-23 11:17:00,outbid,Yes
BID000011,AUC00001,USER02975,13241,2024-04-27 12:34:22,outbid,Yes
BID000012,AUC00001,USER00931,15176,2024-04-22 14:05:46,outbid,Yes
BID000013,AUC00001,USER02427,16256,2024-04-23 13:36:16,outbid,Yes
BID000014,AUC00001,USER02360,16518,2024-04-26 22:24:10,outbid,Yes
BID000015,AUC00001,USER00708,17720,2024-04-25 08:08:32,outbid,No
BID000016,AUC00001,USER02020,19534,2024-04-26 19:05:29,outbid,Yes
BID000017,AUC00001,USER00557,20693,2024-04-22 19:45:39,outbid,No
BID000018,AUC00001,USER02912,22514,2024-04-27 01:51:00,outbid,No
BID000019,AUC00001,USER02000,24502,2024-04-22 14:56:26,outbid,No
BID000020,AUC00001,USER00315,25375,2024-04-24 15:22:38,outbid,Yes
BID000021,AUC00001,USER01400,26716,2024-04-25 23:00:12,outbid,Yes
BID000022,AUC00001,USER01806,27707,2024-04-24 00:05:28,outbid,No
BID000023,AUC00001,USER01283,29657,2024-04-24 16:41:28,outbid,No
BID000024,AUC00001,USER00540,31001,2024-04-23 22:25:26,outbid,No
BID000025,AUC00001,USER02277,32365,2024-04-24 00:30:26,outbid,Yes
BID000026,AUC00001,USER01689,33085,2024-04-23 05:06:22,outbid,Yes
BID000027,AUC00001,USER01382,34321,2024-04-24 02:13:13,outbid,Yes
BID000028,AUC00001,USER01355,35229,2024-04-23 22:08:01,outbid,No
BID000029,AUC00001,USER02590,36956,2024-04-24 15:20:11,outbid,Yes
BID000030,AUC00001,USER02244,38097,2024-04-24 23:39:58,outbid,No
BID000031,AUC00001,USER01348,39628,2024-04-25 13:57:08,outbid,Yes
BID000032,AUC00001,USER01636,41363,2024-04-27 03:44:38,outbid,Yes
BID000033,AUC00001,USER02995,43018,2024-04-23 15:17:54,outbid,No
BID000034,AUC00001,USER02533,44498,2024-04-25 07:30:14,outbid,No
BID000035,AUC00001,USER01622,44712,2024-04-22 17:40:16,outbid,Yes
